gene_name,tissue,gene_class,panel_family,panel_label,panel_scope,panel_direction,panel_quantile,page,file_png,file_svg
H2AC1,testis,clustered,clustered_p90_panels,clustered p90 panels,clustered,high,0.9,2,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p90_panels_page2.png,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p90_panels_page2.svg
H2AC14,brain,clustered,clustered_p90_panels,clustered p90 panels,clustered,high,0.9,2,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p90_panels_page2.png,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p90_panels_page2.svg
H2AC14,cerebral cortex,clustered,clustered_p90_panels,clustered p90 panels,clustered,high,0.9,2,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p90_panels_page2.png,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p90_panels_page2.svg
H2AC14,testis,clustered,clustered_p90_panels,clustered p90 panels,clustered,high,0.9,1,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p90_panels_page1.png,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p90_panels_page1.svg
H2AC17,testis,clustered,clustered_p90_panels,clustered p90 panels,clustered,high,0.9,2,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p90_panels_page2.png,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p90_panels_page2.svg
H2AC19,bone marrow,clustered,clustered_p90_panels,clustered p90 panels,clustered,high,0.9,1,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p90_panels_page1.png,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p90_panels_page1.svg
H2AC20,prefrontal cortex,clustered,clustered_p90_panels,clustered p90 panels,clustered,high,0.9,3,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p90_panels_page3.png,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p90_panels_page3.svg
H2AC20,testis,clustered,clustered_p90_panels,clustered p90 panels,clustered,high,0.9,3,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p90_panels_page3.png,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p90_panels_page3.svg
H2AC21,cerebellum,clustered,clustered_p90_panels,clustered p90 panels,clustered,high,0.9,2,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p90_panels_page2.png,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p90_panels_page2.svg
H2AC21,cerebral cortex,clustered,clustered_p90_panels,clustered p90 panels,clustered,high,0.9,1,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p90_panels_page1.png,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p90_panels_page1.svg
H2AC21,colon,clustered,clustered_p90_panels,clustered p90 panels,clustered,high,0.9,2,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p90_panels_page2.png,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p90_panels_page2.svg
H2AC6,adult mammalian kidney,clustered,clustered_p90_panels,clustered p90 panels,clustered,high,0.9,1,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p90_panels_page1.png,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p90_panels_page1.svg
H2AC6,prefrontal cortex,clustered,clustered_p90_panels,clustered p90 panels,clustered,high,0.9,1,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p90_panels_page1.png,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p90_panels_page1.svg
H2AC6,spleen,clustered,clustered_p90_panels,clustered p90 panels,clustered,high,0.9,1,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p90_panels_page1.png,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p90_panels_page1.svg
H2AJ,brain,variant,variant_p90_panels,variant p90 panels,variant,high,0.9,3,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page3.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page3.svg
H2AJ,pituitary gland,variant,variant_p90_panels,variant p90 panels,variant,high,0.9,2,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page2.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page2.svg
H2AJ,testis,variant,variant_p90_panels,variant p90 panels,variant,high,0.9,1,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page1.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page1.svg
H2AX,adipose tissue,variant,variant_p90_panels,variant p90 panels,variant,high,0.9,1,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page1.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page1.svg
H2AX,heart left ventricle,variant,variant_p90_panels,variant p90 panels,variant,high,0.9,2,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page2.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page2.svg
H2AX,hypothalamus,variant,variant_p90_panels,variant p90 panels,variant,high,0.9,2,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page2.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page2.svg
H2AX,lymph node,variant,variant_p90_panels,variant p90 panels,variant,high,0.9,1,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page1.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page1.svg
H2AX,pituitary gland,variant,variant_p90_panels,variant p90 panels,variant,high,0.9,3,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page3.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page3.svg
MACROH2A2,adult mammalian kidney,variant,variant_p90_panels,variant p90 panels,variant,high,0.9,3,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page3.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page3.svg
MACROH2A2,kidney,variant,variant_p90_panels,variant p90 panels,variant,high,0.9,2,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page2.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page2.svg
MACROH2A2,liver,variant,variant_p90_panels,variant p90 panels,variant,high,0.9,2,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page2.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page2.svg
MACROH2A2,lung,variant,variant_p90_panels,variant p90 panels,variant,high,0.9,1,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page1.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page1.svg
MACROH2A2,muscle tissue,variant,variant_p90_panels,variant p90 panels,variant,high,0.9,2,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page2.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page2.svg
MACROH2A2,pituitary gland,variant,variant_p90_panels,variant p90 panels,variant,high,0.9,3,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page3.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page3.svg
MACROH2A2,skeletal muscle tissue,variant,variant_p90_panels,variant p90 panels,variant,high,0.9,3,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page3.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page3.svg
MACROH2A2,spleen,variant,variant_p90_panels,variant p90 panels,variant,high,0.9,3,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page3.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page3.svg
MACROH2A2,testis,variant,variant_p90_panels,variant p90 panels,variant,high,0.9,1,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page1.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page1.svg
MACROH2A2,zone of skin,variant,variant_p90_panels,variant p90 panels,variant,high,0.9,1,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page1.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p90_panels_page1.svg
H2AC14,testis,clustered,clustered_p95_panels,clustered p95 panels,clustered,high,0.95,1,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p95_panels_page1.png,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p95_panels_page1.svg
H2AC19,bone marrow,clustered,clustered_p95_panels,clustered p95 panels,clustered,high,0.95,1,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p95_panels_page1.png,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p95_panels_page1.svg
H2AC21,cerebral cortex,clustered,clustered_p95_panels,clustered p95 panels,clustered,high,0.95,1,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p95_panels_page1.png,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p95_panels_page1.svg
H2AC21,colon,clustered,clustered_p95_panels,clustered p95 panels,clustered,high,0.95,2,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p95_panels_page2.png,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p95_panels_page2.svg
H2AC6,adult mammalian kidney,clustered,clustered_p95_panels,clustered p95 panels,clustered,high,0.95,1,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p95_panels_page1.png,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p95_panels_page1.svg
H2AC6,prefrontal cortex,clustered,clustered_p95_panels,clustered p95 panels,clustered,high,0.95,1,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p95_panels_page1.png,CURATED_SET/BioAnalyze/stats/ranking/plots/clustered_p95_panels_page1.svg
