gene_name,tissue,gene_class,gene_species_count,species_n,mean_score,median_score,std_score,min_score,max_score,range,max_species,max_species_name,_max_score_check,min_species,min_species_name,_min_score_check,passes_conservative_species_filter,is_conservative_candidate,is_high_confidence_candidate,candidate_level,low_variability_level,is_low_variability_p05,is_low_variability_p10,class_specific_low_level,class_specific_low_threshold
H2AC13,muscle tissue,clustered,7,4,42.06066666666666,41.69,2.192598053046255,39.906666666666666,44.956,5.049333333333337,bos_taurus,Bos taurus,44.956,equus_caballus,Equus caballus,39.906666666666666,True,False,False,background,background,False,False,p05,13.96166666666667
H2AC11,cerebral cortex,clustered,6,4,45.97708333333333,45.335,3.0414690575078667,43.025,50.21333333333334,7.18833333333334,human,Homo sapiens,50.21333333333334,canis_lupus_familiaris,Canis lupus familiaris,43.025,True,False,False,background,background,False,False,p05,13.96166666666667
H2AC8,cortex of kidney,clustered,6,4,55.99875,56.5875,3.0963106406388423,51.74,59.08,7.339999999999996,human,Homo sapiens,59.08,macaca_mulatta,Macaca mulatta,51.74,True,False,False,background,background,False,False,p05,13.96166666666667
H2AC12,liver,clustered,6,4,40.918958333333336,40.87708333333333,3.96071889372278,36.705,45.21666666666667,8.51166666666667,macaca_mulatta,Macaca mulatta,45.21666666666667,human,Homo sapiens,36.705,True,False,False,background,background,False,False,p05,13.96166666666667
H2AC21,blood,clustered,6,4,52.13229166666667,51.43958333333333,4.2943300999043466,48.07,57.580000000000005,9.510000000000005,human,Homo sapiens,57.580000000000005,equus_caballus,Equus caballus,48.07,True,False,False,background,background,False,False,p05,13.96166666666667
H2AC13,colon,clustered,7,4,55.852999999999994,57.074999999999996,5.508090655269455,48.48,60.782000000000004,12.302000000000007,human,Homo sapiens,60.782000000000004,macaca_mulatta,Macaca mulatta,48.48,True,False,False,background,background,False,False,p05,13.96166666666667
H2AC6,skeletal muscle tissue,clustered,7,5,85.53066666666666,83.565,5.486702688217107,81.73333333333333,95.24,13.50666666666666,pan_troglodytes,Pan troglodytes,95.24,human,Homo sapiens,81.73333333333333,True,False,False,background,background,False,False,p05,13.96166666666667
H2AC13,muscle tissue,clustered,7,4,42.06066666666666,41.69,2.192598053046255,39.906666666666666,44.956,5.049333333333337,bos_taurus,Bos taurus,44.956,equus_caballus,Equus caballus,39.906666666666666,True,False,False,background,background,False,False,p10,18.404000000000003
H2AC11,cerebral cortex,clustered,6,4,45.97708333333333,45.335,3.0414690575078667,43.025,50.21333333333334,7.18833333333334,human,Homo sapiens,50.21333333333334,canis_lupus_familiaris,Canis lupus familiaris,43.025,True,False,False,background,background,False,False,p10,18.404000000000003
H2AC8,cortex of kidney,clustered,6,4,55.99875,56.5875,3.0963106406388423,51.74,59.08,7.339999999999996,human,Homo sapiens,59.08,macaca_mulatta,Macaca mulatta,51.74,True,False,False,background,background,False,False,p10,18.404000000000003
H2AC12,liver,clustered,6,4,40.918958333333336,40.87708333333333,3.96071889372278,36.705,45.21666666666667,8.51166666666667,macaca_mulatta,Macaca mulatta,45.21666666666667,human,Homo sapiens,36.705,True,False,False,background,background,False,False,p10,18.404000000000003
H2AC21,blood,clustered,6,4,52.13229166666667,51.43958333333333,4.2943300999043466,48.07,57.580000000000005,9.510000000000005,human,Homo sapiens,57.580000000000005,equus_caballus,Equus caballus,48.07,True,False,False,background,background,False,False,p10,18.404000000000003
H2AC13,colon,clustered,7,4,55.852999999999994,57.074999999999996,5.508090655269455,48.48,60.782000000000004,12.302000000000007,human,Homo sapiens,60.782000000000004,macaca_mulatta,Macaca mulatta,48.48,True,False,False,background,background,False,False,p10,18.404000000000003
H2AC6,skeletal muscle tissue,clustered,7,5,85.53066666666666,83.565,5.486702688217107,81.73333333333333,95.24,13.50666666666666,pan_troglodytes,Pan troglodytes,95.24,human,Homo sapiens,81.73333333333333,True,False,False,background,background,False,False,p10,18.404000000000003
H2AC11,spleen,clustered,6,4,51.23229166666667,51.51708333333333,6.4242004609523224,43.815,58.080000000000005,14.265000000000008,sus_scrofa,Sus scrofa,58.080000000000005,macaca_mulatta,Macaca mulatta,43.815,True,False,False,background,background,False,False,p10,18.404000000000003
H2AC21,prefrontal cortex,clustered,6,5,34.957166666666666,35.99,5.222364819270629,26.623333333333335,40.99,14.366666666666667,sus_scrofa,Sus scrofa,40.99,pan_troglodytes,Pan troglodytes,26.623333333333335,True,False,False,background,background,False,False,p10,18.404000000000003
H2AC7,spleen,clustered,5,4,41.272045454545456,41.965,7.867059445008329,32.75,48.408181818181816,15.658181818181816,human,Homo sapiens,48.408181818181816,felis_catus,Felis catus,32.75,True,False,False,background,background,False,False,p10,18.404000000000003
H2AC15,liver,clustered,5,5,43.77916666666667,41.50833333333333,6.174754999638087,36.92,53.1625,16.2425,human,Homo sapiens,53.1625,felis_catus,Felis catus,36.92,True,False,False,background,background,False,False,p10,18.404000000000003
H2AC7,liver,clustered,5,4,46.354479166666664,44.65895833333333,8.27208523533365,39.52,56.58,17.059999999999995,felis_catus,Felis catus,56.58,bos_taurus,Bos taurus,39.52,True,False,False,background,background,False,False,p10,18.404000000000003
H2AC7,adult mammalian kidney,clustered,5,4,43.09375,43.131249999999994,8.43566893711854,34.24,51.8725,17.6325,human,Homo sapiens,51.8725,canis_lupus_familiaris,Canis lupus familiaris,34.24,True,False,False,background,background,False,False,p10,18.404000000000003
H2AC1,adult mammalian kidney,clustered,7,6,44.89000000000001,45.5325,6.1049086807257,35.35,53.635000000000005,18.285000000000004,mus_musculus,Mus musculus,53.635000000000005,canis_lupus_familiaris,Canis lupus familiaris,35.35,True,False,False,background,background,False,False,p10,18.404000000000003
H2AZ1,thymus,variant,8,4,98.983125,99.00999999999999,0.5755047603336251,98.34,99.57249999999999,1.2324999999999875,human,Homo sapiens,99.57249999999999,pan_troglodytes,Pan troglodytes,98.34,True,False,False,background,p10,True,True,p05,2.891500000000005
H2AJ,metanephros cortex,variant,8,4,96.9825,97.04249999999999,0.6546054791501029,96.14,97.70500000000001,1.565000000000012,human,Homo sapiens,97.70500000000001,bos_taurus,Bos taurus,96.14,True,False,False,background,p10,True,True,p05,2.891500000000005
H2AZ1,frontal cortex,variant,8,6,96.9728144078144,97.26,0.7772342824037559,95.65714285714286,97.695,2.037857142857135,pan_troglodytes,Pan troglodytes,97.695,sus_scrofa,Sus scrofa,95.65714285714286,True,False,False,background,p10,True,True,p05,2.891500000000005
H2AZ1,spleen,variant,8,7,97.28777551020407,96.928,0.8638517983365248,96.28142857142858,98.73666666666666,2.4552380952380872,human,Homo sapiens,98.73666666666666,sus_scrofa,Sus scrofa,96.28142857142858,True,False,False,background,p10,True,True,p05,2.891500000000005
H2AZ1,blood,variant,8,5,96.87774358974359,96.47,1.097572217749493,95.69666666666666,98.18538461538462,2.4887179487179623,human,Homo sapiens,98.18538461538462,equus_caballus,Equus caballus,95.69666666666666,True,False,False,background,p10,True,True,p05,2.891500000000005
H2AZ1,Ammon's horn,variant,8,4,96.84385416666666,97.25770833333334,1.1728128469446089,95.12,97.74,2.6199999999999903,macaca_mulatta,Macaca mulatta,97.74,bos_taurus,Bos taurus,95.12,True,False,False,background,p10,True,True,p05,2.891500000000005
H2AZ1,cortex of kidney,variant,8,4,95.01650000000001,95.253,1.2756837382360906,93.47,96.09,2.6200000000000045,macaca_mulatta,Macaca mulatta,96.09,bos_taurus,Bos taurus,93.47,True,False,False,background,p10,True,True,p05,2.891500000000005
MACROH2A1,retina,variant,8,4,95.5175,95.245,1.230863518023011,94.39,97.19,2.799999999999997,human,Homo sapiens,97.19,bos_taurus,Bos taurus,94.39,True,False,False,background,p10,True,True,p05,2.891500000000005
H2AZ1,lymph node,variant,8,5,97.04233333333335,97.16,1.2973089668832005,95.48,98.35166666666667,2.8716666666666697,human,Homo sapiens,98.35166666666667,pan_troglodytes,Pan troglodytes,95.48,True,False,False,background,p10,True,True,p05,2.891500000000005
H2AZ1,thymus,variant,8,4,98.983125,99.00999999999999,0.5755047603336251,98.34,99.57249999999999,1.2324999999999875,human,Homo sapiens,99.57249999999999,pan_troglodytes,Pan troglodytes,98.34,True,False,False,background,p10,True,True,p10,3.9119999999999977
H2AJ,metanephros cortex,variant,8,4,96.9825,97.04249999999999,0.6546054791501029,96.14,97.70500000000001,1.565000000000012,human,Homo sapiens,97.70500000000001,bos_taurus,Bos taurus,96.14,True,False,False,background,p10,True,True,p10,3.9119999999999977
H2AZ1,frontal cortex,variant,8,6,96.9728144078144,97.26,0.7772342824037559,95.65714285714286,97.695,2.037857142857135,pan_troglodytes,Pan troglodytes,97.695,sus_scrofa,Sus scrofa,95.65714285714286,True,False,False,background,p10,True,True,p10,3.9119999999999977
H2AZ1,spleen,variant,8,7,97.28777551020407,96.928,0.8638517983365248,96.28142857142858,98.73666666666666,2.4552380952380872,human,Homo sapiens,98.73666666666666,sus_scrofa,Sus scrofa,96.28142857142858,True,False,False,background,p10,True,True,p10,3.9119999999999977
H2AZ1,blood,variant,8,5,96.87774358974359,96.47,1.097572217749493,95.69666666666666,98.18538461538462,2.4887179487179623,human,Homo sapiens,98.18538461538462,equus_caballus,Equus caballus,95.69666666666666,True,False,False,background,p10,True,True,p10,3.9119999999999977
H2AZ1,Ammon's horn,variant,8,4,96.84385416666666,97.25770833333334,1.1728128469446089,95.12,97.74,2.6199999999999903,macaca_mulatta,Macaca mulatta,97.74,bos_taurus,Bos taurus,95.12,True,False,False,background,p10,True,True,p10,3.9119999999999977
H2AZ1,cortex of kidney,variant,8,4,95.01650000000001,95.253,1.2756837382360906,93.47,96.09,2.6200000000000045,macaca_mulatta,Macaca mulatta,96.09,bos_taurus,Bos taurus,93.47,True,False,False,background,p10,True,True,p10,3.9119999999999977
MACROH2A1,retina,variant,8,4,95.5175,95.245,1.230863518023011,94.39,97.19,2.799999999999997,human,Homo sapiens,97.19,bos_taurus,Bos taurus,94.39,True,False,False,background,p10,True,True,p10,3.9119999999999977
H2AZ1,lymph node,variant,8,5,97.04233333333335,97.16,1.2973089668832005,95.48,98.35166666666667,2.8716666666666697,human,Homo sapiens,98.35166666666667,pan_troglodytes,Pan troglodytes,95.48,True,False,False,background,p10,True,True,p10,3.9119999999999977
MACROH2A1,kidney,variant,8,5,94.68533333333333,94.64666666666666,1.1868412792880985,92.97,95.87,2.9000000000000057,macaca_mulatta,Macaca mulatta,95.87,bos_taurus,Bos taurus,92.97,True,False,False,background,p10,True,True,p10,3.9119999999999977
H2AZ2,colon,variant,8,6,96.5062962962963,96.1238888888889,1.2581494673942926,95.32,98.23,2.910000000000011,bos_taurus,Bos taurus,98.23,sus_scrofa,Sus scrofa,95.32,True,False,False,background,p10,True,True,p10,3.9119999999999977
H2AJ,thymus,variant,8,4,93.77125000000001,93.6525,1.3825241106999433,92.38,95.4,3.0200000000000102,bos_taurus,Bos taurus,95.4,pan_troglodytes,Pan troglodytes,92.38,True,False,False,background,p10,True,True,p10,3.9119999999999977
H2AZ1,kidney,variant,8,5,96.60933333333334,96.81,1.2739187136112335,95.09,98.24666666666667,3.1566666666666663,human,Homo sapiens,98.24666666666667,bos_taurus,Bos taurus,95.09,True,False,False,background,p10,True,True,p10,3.9119999999999977
H2AX,cerebellar cortex,variant,8,4,86.10425000000001,86.36500000000001,1.485143848251743,84.235,87.452,3.2169999999999987,pan_troglodytes,Pan troglodytes,87.452,mus_musculus,Mus musculus,84.235,True,False,False,background,p10,True,True,p10,3.9119999999999977
H2AZ1,cerebral cortex,variant,8,6,97.48599999999999,97.57,1.1508423002305712,95.795,99.1,3.3049999999999926,macaca_mulatta,Macaca mulatta,99.1,bos_taurus,Bos taurus,95.795,True,False,False,background,p10,True,True,p10,3.9119999999999977
H2AZ1,brain,variant,8,5,96.73949999999999,97.465,1.5222520323520752,94.69,98.1675,3.4775000000000063,macaca_mulatta,Macaca mulatta,98.1675,bos_taurus,Bos taurus,94.69,True,False,False,background,p10,True,True,p10,3.9119999999999977
H2AZ2,uterus,variant,8,4,97.09666666666666,97.21333333333334,1.8319024719309371,95.1,98.86,3.760000000000005,felis_catus,Felis catus,98.86,human,Homo sapiens,95.1,True,False,False,background,p10,False,True,p10,3.9119999999999977
H2AZ1,retina,variant,8,4,96.7925,97.24000000000001,1.6891097260588686,94.4,98.29,3.8900000000000006,human,Homo sapiens,98.29,equus_caballus,Equus caballus,94.4,True,False,False,background,p10,False,True,p10,3.9119999999999977
