gene_name,gene_class,gene_species_count,observations,species_observed,tissues_observed,overall_mean_score,overall_median_score,overall_std_score
H2AB3,variant,5,297,5,200,16.964653778647463,0.0,21.368669560579598
H2AC1,clustered,7,452,7,266,9.968981695111673,0.0,22.362314561858412
H2AC11,clustered,6,579,6,375,27.392869750112283,32.48,27.748498034637212
H2AC12,clustered,6,419,6,251,31.314136807040743,36.45333333333333,25.904271006929513
H2AC13,clustered,7,465,7,282,41.66891275714587,46.67666666666667,27.477085813363363
H2AC14,clustered,7,432,7,250,29.21901858281893,31.119999999999997,28.684438128403823
H2AC15,clustered,5,372,5,250,31.473949940823633,39.086666666666666,27.713120010927003
H2AC16,clustered,4,259,4,187,23.3941843281129,25.56,24.730638227384148
H2AC17,clustered,6,307,6,195,38.62937005841607,42.88333333333333,26.25854149839271
H2AC19,clustered,4,309,4,227,69.59258659198586,76.396,23.369172368634352
H2AC20,clustered,5,322,5,229,41.30807574533817,52.028125,33.42985860948683
H2AC21,clustered,6,387,6,239,43.271529371002245,44.22,26.820539554224823
H2AC25,clustered,6,407,6,250,58.127944986251805,60.18,24.48333421171228
H2AC6,clustered,7,568,7,371,72.001496983164,79.625,23.77879980501787
H2AC7,clustered,5,354,5,243,35.375062162688224,39.73583333333333,25.514158755287813
H2AC8,clustered,6,505,6,362,38.3513500301601,48.6,31.10356977072274
H2AJ,variant,8,610,8,371,84.66596499516847,92.37333333333333,22.854479079947602
H2AX,variant,8,841,8,561,74.74722275675124,81.89272727272727,25.587468931341245
H2AZ1,variant,8,626,8,384,96.13230714241392,97.230625,3.580693360267517
H2AZ2,variant,8,625,8,383,93.7892380241897,95.95285714285714,9.37438376864805
MACROH2A1,variant,8,625,8,384,93.25754788068586,95.056,7.295406385037321
MACROH2A2,variant,8,611,8,372,62.653686481155574,70.55,26.277776382191927
