gene_name,tissue,gene_class,gene_species_count,species_n,mean_score,median_score,std_score,min_score,max_score,range,max_species,max_species_name,_max_score_check,min_species,min_species_name,_min_score_check,passes_conservative_species_filter,is_conservative_candidate,is_high_confidence_candidate,candidate_level
H2AC14,testis,clustered,7,5,51.51773333333333,58.612,30.98584750638409,12.78,94.05,81.27,sus_scrofa,Sus scrofa,94.05,felis_catus,Felis catus,12.78,True,True,True,high_confidence
H2AC19,olfactory segment of nasal mucosa,clustered,4,2,60.47,60.47,50.37428709172965,24.85,96.09,71.24000000000001,human,Homo sapiens,96.09,bos_taurus,Bos taurus,24.85,False,False,False,background
H2AC6,prefrontal cortex,clustered,7,6,57.102154882154885,65.97,25.662059145327255,13.49,81.88111111111112,68.39111111111113,human,Homo sapiens,81.88111111111112,felis_catus,Felis catus,13.49,True,True,True,high_confidence
H2AC20,ileum,clustered,5,2,52.955,52.955,48.14690073099202,18.91,87.0,68.09,macaca_mulatta,Macaca mulatta,87.0,bos_taurus,Bos taurus,18.91,False,False,False,background
H2AC19,bone marrow,clustered,4,4,70.7825,75.815,28.892295830088223,31.75,99.75,68.0,pan_troglodytes,Pan troglodytes,99.75,equus_caballus,Equus caballus,31.75,True,True,True,high_confidence
H2AC14,ovary,clustered,7,3,55.401111111111106,52.03666666666667,34.10801312388717,23.1,91.06666666666666,67.96666666666667,sus_scrofa,Sus scrofa,91.06666666666666,human,Homo sapiens,23.1,False,False,False,background
H2AC7,brain,clustered,5,3,55.86222222222222,41.4,35.29372344787122,30.096666666666664,96.09,65.99333333333334,felis_catus,Felis catus,96.09,human,Homo sapiens,30.096666666666664,False,False,False,background
H2AC21,cerebral cortex,clustered,6,5,46.879999999999995,37.75,26.87548883276358,27.24,92.69,65.45,sus_scrofa,Sus scrofa,92.69,pan_troglodytes,Pan troglodytes,27.24,True,True,True,high_confidence
H2AC6,spleen,clustered,7,6,72.26375,75.36416666666666,23.620583759779898,31.04,96.45,65.41,pan_troglodytes,Pan troglodytes,96.45,felis_catus,Felis catus,31.04,True,True,True,high_confidence
H2AC6,adult mammalian kidney,clustered,7,7,65.31720695970697,67.4275,23.528688135935607,26.035,90.93333333333334,64.89833333333334,pan_troglodytes,Pan troglodytes,90.93333333333334,felis_catus,Felis catus,26.035,True,True,True,high_confidence
H2AC19,zone of skin,clustered,4,3,51.85,39.605000000000004,33.9036284931274,25.77,90.175,64.405,human,Homo sapiens,90.175,bos_taurus,Bos taurus,25.77,False,False,False,background
H2AC21,colon,clustered,6,5,57.101888888888894,58.904444444444444,25.39288988532804,31.62,95.985,64.365,sus_scrofa,Sus scrofa,95.985,macaca_mulatta,Macaca mulatta,31.62,True,True,True,high_confidence
H2AC19,blood,clustered,4,3,65.34743055555556,61.11666666666667,30.74193561282049,36.94,97.985625,61.045625,human,Homo sapiens,97.985625,bos_taurus,Bos taurus,36.94,False,False,False,background
H2AC12,kidney,clustered,6,3,47.48416666666666,44.4,30.48349064794472,18.66,79.3925,60.7325,human,Homo sapiens,79.3925,canis_lupus_familiaris,Canis lupus familiaris,18.66,False,False,False,background
H2AC14,brain,clustered,7,5,36.286,32.519999999999996,23.635102707625364,16.05,76.52,60.47,felis_catus,Felis catus,76.52,canis_lupus_familiaris,Canis lupus familiaris,16.05,True,True,True,high_confidence
H2AC6,embryo,clustered,7,3,43.34238095238095,33.09,31.179483453633004,18.58,78.35714285714286,59.77714285714286,human,Homo sapiens,78.35714285714286,felis_catus,Felis catus,18.58,False,False,False,background
