gene_name,gene_class,gene_species_count,tissues_compared,max_range,median_range,mean_range,p90_range,p10_range,global_p90_hits,global_p95_hits,gene_mean_score,gene_median_of_tissue_medians,global_p05_hits,global_p10_hits
H2AZ1,variant,8,29,12.626000000000005,4.589444444444439,5.123026625631573,8.987999999999996,2.4820219780219874,0,0,95.94790568907126,96.65,10,16
H2AZ2,variant,8,29,16.928333333333327,7.209999999999994,8.426637299482126,13.166000000000007,4.215124999999995,0,0,94.21044404188784,95.16499999999999,1,4
MACROH2A1,variant,8,29,22.37935897435898,7.330196078431371,7.9031275861880514,12.219301587301583,4.297999999999985,0,0,93.34781690372246,94.243,2,6
H2AJ,variant,8,28,41.824999999999996,12.877099567099563,15.265011529087161,27.722000000000012,4.884384615384616,0,0,88.2529399696466,91.96875,2,3
H2AC7,clustered,5,4,50.4,17.346249999999998,25.187670454545454,40.569750000000006,16.07872727272727,1,0,48.663506155303025,43.89510416666666,0,0
H2AX,variant,8,36,48.96000000000001,19.011500000000005,20.427644336432127,35.04847435897436,5.8411845039019,1,0,79.82591150443085,81.17852272727272,1,2
H2AC11,clustered,6,10,54.6725,26.19971428571429,27.19872422969188,41.35564999999998,13.557333333333341,1,1,50.15594246345974,50.7375,0,0
H2AC1,clustered,7,5,58.35499999999999,28.69,33.469142857142856,51.27928571428571,19.511000000000003,1,1,42.97204047619048,38.36696428571428,0,0
MACROH2A2,variant,8,24,48.07000000000001,29.055657894736843,29.375342255880085,39.46,18.92353571428572,1,0,65.6341538208189,64.4675,0,0
H2AC15,clustered,5,5,41.94666666666666,30.575,29.412651515151516,37.89999999999999,20.333136363636363,0,0,41.568054545454544,42.59,0,0
H2AC6,clustered,7,23,68.39111111111113,33.457499999999996,36.246426872644264,62.76150000000001,19.16,5,4,74.60460907461405,79.1575,0,0
H2AC13,clustered,7,15,53.120000000000005,34.10666666666667,33.55047483660131,50.4555,16.327200000000005,2,0,51.79157914445577,53.4775,0,0
H2AC8,clustered,6,12,54.01500000000001,35.76916666666666,34.15166137566138,41.941,21.261055555555554,1,0,54.24485498203976,56.055416666666666,0,0
H2AC12,clustered,6,3,48.004999999999995,35.80571428571429,30.774126984126983,45.56514285714285,13.970476190476194,0,0,41.544365079365086,40.87708333333333,0,0
H2AC21,clustered,6,18,65.45,37.327,38.42850462962963,60.3995,17.526000000000003,4,3,53.92154503968254,49.463750000000005,0,0
H2AC17,clustered,6,5,58.79333333333332,38.537499999999994,38.728566666666666,52.647999999999996,26.210800000000006,1,1,51.52515893939394,52.68833333333333,0,0
H2AC25,clustered,6,18,53.07333333333334,43.33999999999999,40.75161913780664,52.293375000000005,26.289812500000004,4,0,60.624523691778904,59.16791666666667,0,0
H2AC19,clustered,4,4,68.0,45.30083333333333,48.87083333333334,62.716,37.881666666666675,2,1,72.98675152972028,75.008125,0,0
H2AC20,clustered,5,4,56.2825,51.86119047619048,51.94038690476191,55.84875,48.09538095238096,3,2,58.716738771645026,53.77647727272728,0,0
H2AC14,clustered,7,7,81.27,53.85999999999999,50.06519047619047,68.79,29.636000000000006,4,3,46.11204080012958,39.02285714285715,0,0
