gene_name,tissue,gene_class,gene_species_count,species_n,mean_score,median_score,std_score,min_score,max_score,range,max_species,max_species_name,_max_score_check,min_species,min_species_name,_min_score_check,passes_conservative_species_filter,is_conservative_candidate,is_high_confidence_candidate,candidate_level,low_variability_level,is_low_variability_p05,is_low_variability_p10
H2AC14,testis,clustered,7,5,51.51773333333333,58.612,30.98584750638409,12.78,94.05,81.27,sus_scrofa,Sus scrofa,94.05,felis_catus,Felis catus,12.78,True,True,True,high_confidence,background,False,False
H2AC6,prefrontal cortex,clustered,7,6,57.102154882154885,65.97,25.662059145327255,13.49,81.88111111111112,68.39111111111113,human,Homo sapiens,81.88111111111112,felis_catus,Felis catus,13.49,True,True,True,high_confidence,background,False,False
H2AC19,bone marrow,clustered,4,4,70.7825,75.815,28.892295830088223,31.75,99.75,68.0,pan_troglodytes,Pan troglodytes,99.75,equus_caballus,Equus caballus,31.75,True,True,True,high_confidence,background,False,False
H2AC21,cerebral cortex,clustered,6,5,46.879999999999995,37.75,26.87548883276358,27.24,92.69,65.45,sus_scrofa,Sus scrofa,92.69,pan_troglodytes,Pan troglodytes,27.24,True,True,True,high_confidence,background,False,False
H2AC6,spleen,clustered,7,6,72.26375,75.36416666666666,23.620583759779898,31.04,96.45,65.41,pan_troglodytes,Pan troglodytes,96.45,felis_catus,Felis catus,31.04,True,True,True,high_confidence,background,False,False
H2AC6,adult mammalian kidney,clustered,7,7,65.31720695970697,67.4275,23.528688135935607,26.035,90.93333333333334,64.89833333333334,pan_troglodytes,Pan troglodytes,90.93333333333334,felis_catus,Felis catus,26.035,True,True,True,high_confidence,background,False,False
H2AC21,colon,clustered,6,5,57.101888888888894,58.904444444444444,25.39288988532804,31.62,95.985,64.365,sus_scrofa,Sus scrofa,95.985,macaca_mulatta,Macaca mulatta,31.62,True,True,True,high_confidence,background,False,False
H2AC14,brain,clustered,7,5,36.286,32.519999999999996,23.635102707625364,16.05,76.52,60.47,felis_catus,Felis catus,76.52,canis_lupus_familiaris,Canis lupus familiaris,16.05,True,True,True,high_confidence,background,False,False
H2AC14,cerebral cortex,clustered,7,4,43.8225,34.775,27.42204390023958,23.27,82.47,59.2,sus_scrofa,Sus scrofa,82.47,human,Homo sapiens,23.27,True,True,True,high_confidence,background,False,False
H2AC17,testis,clustered,6,4,48.380714285714284,40.198095238095235,26.043405464308663,27.166666666666668,85.96,58.79333333333332,sus_scrofa,Sus scrofa,85.96,felis_catus,Felis catus,27.166666666666668,True,True,True,high_confidence,background,False,False
H2AC21,cerebellum,clustered,6,5,61.5262,46.506,29.094918279658398,34.765,93.465,58.7,equus_caballus,Equus caballus,93.465,human,Homo sapiens,34.765,True,True,True,high_confidence,background,False,False
H2AC1,testis,clustered,7,7,57.43142857142857,59.330000000000005,20.855723666564167,23.59,81.945,58.35499999999999,pan_troglodytes,Pan troglodytes,81.945,canis_lupus_familiaris,Canis lupus familiaris,23.59,True,True,True,high_confidence,background,False,False
H2AC20,prefrontal cortex,clustered,5,4,40.764125,40.697,23.241223319692818,12.69,68.9725,56.2825,macaca_mulatta,Macaca mulatta,68.9725,felis_catus,Felis catus,12.69,True,True,True,high_confidence,background,False,False
H2AC20,testis,clustered,5,5,62.861666666666665,48.7625,23.982767909422428,42.20333333333333,97.04,54.83666666666667,macaca_mulatta,Macaca mulatta,97.04,equus_caballus,Equus caballus,42.20333333333333,True,True,True,high_confidence,background,False,False
H2AC11,testis,clustered,6,6,57.01396367521367,56.28458333333333,19.12601450555999,31.3475,86.02,54.6725,sus_scrofa,Sus scrofa,86.02,canis_lupus_familiaris,Canis lupus familiaris,31.3475,True,True,True,high_confidence,background,False,False
H2AC6,cerebellum,clustered,7,6,70.83947222222223,75.4555,18.896832181734318,43.593333333333334,97.8075,54.21416666666667,equus_caballus,Equus caballus,97.8075,bos_taurus,Bos taurus,43.593333333333334,True,True,True,high_confidence,background,False,False
