gene_name,gene_class,tissue,candidate_level,species_n,combo_range,max_species,max_species_name,min_species,min_species_name,species_high,species_high_name,high_score,species_low,species_low_name,low_score,abs_diff
H2AC14,clustered,testis,high_confidence,5,81.27,sus_scrofa,Sus scrofa,felis_catus,Felis catus,sus_scrofa,Sus scrofa,94.05,felis_catus,Felis catus,12.78,81.27
H2AC6,clustered,prefrontal cortex,high_confidence,6,68.39111111111113,human,Homo sapiens,felis_catus,Felis catus,human,Homo sapiens,81.88111111111112,felis_catus,Felis catus,13.49,68.39111111111113
H2AC19,clustered,bone marrow,high_confidence,4,68.0,pan_troglodytes,Pan troglodytes,equus_caballus,Equus caballus,pan_troglodytes,Pan troglodytes,99.75,equus_caballus,Equus caballus,31.75,68.0
H2AC21,clustered,cerebral cortex,high_confidence,5,65.45,sus_scrofa,Sus scrofa,pan_troglodytes,Pan troglodytes,sus_scrofa,Sus scrofa,92.69,pan_troglodytes,Pan troglodytes,27.24,65.45
H2AC6,clustered,spleen,high_confidence,6,65.41,pan_troglodytes,Pan troglodytes,felis_catus,Felis catus,pan_troglodytes,Pan troglodytes,96.45,felis_catus,Felis catus,31.04,65.41
H2AC6,clustered,adult mammalian kidney,high_confidence,7,64.89833333333334,pan_troglodytes,Pan troglodytes,felis_catus,Felis catus,pan_troglodytes,Pan troglodytes,90.93333333333334,felis_catus,Felis catus,26.035,64.89833333333334
H2AC21,clustered,colon,high_confidence,5,64.365,sus_scrofa,Sus scrofa,macaca_mulatta,Macaca mulatta,sus_scrofa,Sus scrofa,95.985,macaca_mulatta,Macaca mulatta,31.62,64.365
H2AC6,clustered,adult mammalian kidney,high_confidence,7,64.89833333333334,pan_troglodytes,Pan troglodytes,felis_catus,Felis catus,human,Homo sapiens,90.28461538461539,felis_catus,Felis catus,26.035,64.2496153846154
H2AC21,clustered,cerebral cortex,high_confidence,5,65.45,sus_scrofa,Sus scrofa,pan_troglodytes,Pan troglodytes,sus_scrofa,Sus scrofa,92.69,human,Homo sapiens,28.97,63.72
H2AC14,clustered,testis,high_confidence,5,81.27,sus_scrofa,Sus scrofa,felis_catus,Felis catus,sus_scrofa,Sus scrofa,94.05,human,Homo sapiens,31.560000000000002,62.489999999999995
