min_species,max_species,count,subset_label,subset_rows,share
bos_taurus,human,58,overall,459,0.12636165577342048
canis_lupus_familiaris,human,28,overall,459,0.06100217864923747
canis_lupus_familiaris,bos_taurus,25,overall,459,0.054466230936819175
canis_lupus_familiaris,sus_scrofa,21,overall,459,0.0457516339869281
sus_scrofa,human,21,overall,459,0.0457516339869281
equus_caballus,human,16,overall,459,0.034858387799564274
felis_catus,human,16,overall,459,0.034858387799564274
bos_taurus,macaca_mulatta,15,overall,459,0.032679738562091505
bos_taurus,mus_musculus,13,overall,459,0.02832244008714597
canis_lupus_familiaris,mus_musculus,13,overall,459,0.02832244008714597
macaca_mulatta,bos_taurus,13,overall,459,0.02832244008714597
macaca_mulatta,human,13,overall,459,0.02832244008714597
canis_lupus_familiaris,pan_troglodytes,12,overall,459,0.026143790849673203
pan_troglodytes,human,12,overall,459,0.026143790849673203
bos_taurus,bos_taurus,9,overall,459,0.0196078431372549
bos_taurus,equus_caballus,8,overall,459,0.017429193899782137
bos_taurus,pan_troglodytes,8,overall,459,0.017429193899782137
bos_taurus,sus_scrofa,8,overall,459,0.017429193899782137
pan_troglodytes,bos_taurus,8,overall,459,0.017429193899782137
macaca_mulatta,sus_scrofa,7,overall,459,0.015250544662309368
bos_taurus,canis_lupus_familiaris,6,overall,459,0.013071895424836602
equus_caballus,sus_scrofa,6,overall,459,0.013071895424836602
bos_taurus,felis_catus,5,overall,459,0.010893246187363835
canis_lupus_familiaris,equus_caballus,5,overall,459,0.010893246187363835
canis_lupus_familiaris,felis_catus,5,overall,459,0.010893246187363835
equus_caballus,canis_lupus_familiaris,5,overall,459,0.010893246187363835
equus_caballus,macaca_mulatta,5,overall,459,0.010893246187363835
felis_catus,mus_musculus,5,overall,459,0.010893246187363835
human,mus_musculus,5,overall,459,0.010893246187363835
human,pan_troglodytes,5,overall,459,0.010893246187363835
human,sus_scrofa,5,overall,459,0.010893246187363835
pan_troglodytes,macaca_mulatta,5,overall,459,0.010893246187363835
sus_scrofa,canis_lupus_familiaris,5,overall,459,0.010893246187363835
equus_caballus,pan_troglodytes,4,overall,459,0.008714596949891068
felis_catus,pan_troglodytes,4,overall,459,0.008714596949891068
felis_catus,sus_scrofa,4,overall,459,0.008714596949891068
pan_troglodytes,canis_lupus_familiaris,4,overall,459,0.008714596949891068
pan_troglodytes,sus_scrofa,4,overall,459,0.008714596949891068
canis_lupus_familiaris,macaca_mulatta,3,overall,459,0.006535947712418301
equus_caballus,felis_catus,3,overall,459,0.006535947712418301
felis_catus,bos_taurus,3,overall,459,0.006535947712418301
human,canis_lupus_familiaris,3,overall,459,0.006535947712418301
human,equus_caballus,3,overall,459,0.006535947712418301
mus_musculus,bos_taurus,3,overall,459,0.006535947712418301
pan_troglodytes,equus_caballus,3,overall,459,0.006535947712418301
sus_scrofa,equus_caballus,3,overall,459,0.006535947712418301
equus_caballus,bos_taurus,2,overall,459,0.004357298474945534
human,bos_taurus,2,overall,459,0.004357298474945534
