accession,type,variant,isoform,protein_len,taxonomy id,organism,vgnc_id,hgnc_id,ncbi_id,ensembl_gene_id,species_name,order
XP_044907084.1,H2A,H2A.B,,113,9685,Cat,VGNC:109867,,102899188,,Felis catus,Carnivora
XP_006944207.1,H2A,H2A.B,,113,9685,Cat,VGNC:109866,,101097798,ENSFCAG00000044576,Felis catus,Carnivora
XP_004001120.3,H2A,H2A.B,,113,9685,Cat,VGNC:109868,,101098042,ENSFCAG00000044965,Felis catus,Carnivora
XP_003985787.1,H2A,clustered H2A,isoform_1,131,9685,Cat,VGNC:109870,,101096808,ENSFCAG00000027552,Felis catus,Carnivora
XP_003985754.1,H2A,clustered H2A,isoform_3,130,9685,Cat,VGNC:109876,,101088237,ENSFCAG00000044530,Felis catus,Carnivora
XP_003985742.2,H2A,clustered H2A,isoform_8,128,9685,Cat,VGNC:109879,,101085206,ENSFCAG00000051396,Felis catus,Carnivora
XP_003985740.1,H2A,clustered H2A,isoform_4,130,9685,Cat,VGNC:109883,,101084707,ENSFCAG00000040930,Felis catus,Carnivora
XP_023110466.1,H2A,clustered H2A,isoform_9,130,9685,Cat,VGNC:109881,,101083265,ENSFCAG00000043173,Felis catus,Carnivora
XP_011280368.1,H2A,clustered H2A,isoform_4,130,9685,Cat,VGNC:109882,,101083005,,Felis catus,Carnivora
XP_011280365.1,H2A,clustered H2A,isoform_4,130,9685,Cat,VGNC:109884,,105260536,ENSFCAG00000044591,Felis catus,Carnivora
XP_003990603.1,H2A,clustered H2A,isoform_11,130,9685,Cat,VGNC:109885,,101101494,,Felis catus,Carnivora
XP_003985820.2,H2A,clustered H2A,isoform_2,141,9685,Cat,VGNC:109871,,101085975,ENSFCAG00000030442,Felis catus,Carnivora
XP_003990605.3,H2A,clustered H2A,isoform_12,129,9685,Cat,VGNC:109888,,101080814,ENSFCAG00000040278,Felis catus,Carnivora
XP_003990606.1,H2A,clustered H2A,isoform_13,130,9685,Cat,VGNC:109887,,101081066,,Felis catus,Carnivora
XP_006927522.1,H2A,clustered H2A,isoform_14,130,9685,Cat,VGNC:109889,,101098601,ENSFCAG00000024530,Felis catus,Carnivora
XP_044914448.1,H2A,clustered H2A,isoform_3,130,9685,Cat,VGNC:109869,,101094019,,Felis catus,Carnivora
XP_011280386.2,H2A,clustered H2A,isoform_6,130,9685,Cat,VGNC:109873,,101093519,ENSFCAG00000043084,Felis catus,Carnivora
XP_003985768.1,H2A,clustered H2A,isoform_7,130,9685,Cat,VGNC:109874,,101092025,ENSFCAG00000053015,Felis catus,Carnivora
XP_019687248.2,H2A,clustered H2A,isoform_4,130,9685,Cat,VGNC:109872,,102899210,ENSFCAG00000041358,Felis catus,Carnivora
XP_011280380.1,H2A,clustered H2A,isoform_4,130,9685,Cat,VGNC:109875,,105260540,ENSFCAG00000048216,Felis catus,Carnivora
XP_003988491.1,H2A,H2A.J,,129,9685,Cat,VGNC:84028,,101095750,ENSFCAG00000031712,Felis catus,Carnivora
XP_023105303.1,H2A,H2A.L,,117,9685,Cat,VGNC:109890,,111558783,ENSFCAG00000052540,Felis catus,Carnivora
XP_004000502.1,H2A,H2A.P,,112,9685,Cat,VGNC:109891,,101083244,ENSFCAG00000048955,Felis catus,Carnivora
XP_003992480.1,H2A,H2A.X,,143,9685,Cat,VGNC:109892,,101095127,ENSFCAG00000051680,Felis catus,Carnivora
XP_023108679.1,H2A,H2A.Z.1,,128,9685,Cat,VGNC:109893,,101087401,ENSFCAG00000039458,Felis catus,Carnivora
XP_023105894.1,H2A,H2A.Z.2,,90,9685,Cat,VGNC:109894,,101099622,ENSFCAG00000010271,Felis catus,Carnivora
XP_023105893.1,H2A,H2A.Z.2,,128,9685,Cat,VGNC:109894,,101099622,ENSFCAG00000010271,Felis catus,Carnivora
XP_044915091.1,H2A,macroH2A.1,,377,9685,Cat,VGNC:81624,,101080257,ENSFCAG00000013924,Felis catus,Carnivora
XP_044915089.1,H2A,macroH2A.1,,378,9685,Cat,VGNC:81624,,101080257,ENSFCAG00000013924,Felis catus,Carnivora
XP_044915085.1,H2A,macroH2A.1,,380,9685,Cat,VGNC:81624,,101080257,ENSFCAG00000013924,Felis catus,Carnivora
XP_044915084.1,H2A,macroH2A.1,,381,9685,Cat,VGNC:81624,,101080257,ENSFCAG00000013924,Felis catus,Carnivora
XP_023111205.1,H2A,macroH2A.1,,368,9685,Cat,VGNC:81624,,101080257,ENSFCAG00000013924,Felis catus,Carnivora
XP_023111201.1,H2A,macroH2A.1,,369,9685,Cat,VGNC:81624,,101080257,ENSFCAG00000013924,Felis catus,Carnivora
XP_023111196.1,H2A,macroH2A.1,,371,9685,Cat,VGNC:81624,,101080257,ENSFCAG00000013924,Felis catus,Carnivora
XP_023111195.1,H2A,macroH2A.1,,372,9685,Cat,VGNC:81624,,101080257,ENSFCAG00000013924,Felis catus,Carnivora
XP_023096281.1,H2A,macroH2A.2,,372,9685,Cat,VGNC:81625,,101095520,ENSFCAG00000001225,Felis catus,Carnivora
XP_024844327.1,H2A,H2A.B,,175,9913,Cattle,VGNC:95387,,104970512,,Bos taurus,Artiodactyla
