accession,hist_type,hist_var,taxid,curated
1ZLA_C,H2A,canonical_H2A,263730,False
1ZLA_D,H2B,canonical_H2B,8355,False
1ZLA_G,H2A,canonical_H2A,263730,False
1ZLA_H,H2B,canonical_H2B,8355,False
1ZR3_A,H2A,macroH2A,9606,False
1ZR3_B,H2A,macroH2A,9606,False
1ZR3_C,H2A,macroH2A,9606,False
1ZR3_D,H2A,macroH2A,9606,False
2F8N_H,H2B,canonical_H2B,8355,False
2FXK_A,H2A,macroH2A,9606,False
2FXK_B,H2A,macroH2A,9606,False
2YFW_B,H4,canonical_H4,284590,False
2YFW_D,H4,canonical_H4,284590,False
2YFW_F,H4,canonical_H4,284590,False
2YFW_H,H4,canonical_H4,284590,False
3IID_A,H2A,macroH2A,9606,False
3IIF_A,H2A,macroH2A,9606,False
3IIF_B,H2A,macroH2A,9606,False
3IIF_C,H2A,macroH2A,9606,False
3LEL_A,H3,canonical_H3,8355,False
3LEL_E,H3,canonical_H3,8355,False
3LEL_K,H3,canonical_H3,8355,False
3LEL_O,H3,canonical_H3,8355,False
4ZUX_A,H3,canonical_H3,8355,False
4ZUX_D,H2B,canonical_H2B,8355,False
4ZUX_E,H3,canonical_H3,8355,False
4ZUX_H,H2B,canonical_H2B,8355,False
4ZUX_K,H3,canonical_H3,8355,False
4ZUX_N,H2B,canonical_H2B,8355,False
4ZUX_O,H3,canonical_H3,8355,False
4ZUX_R,H2B,canonical_H2B,8355,False
5E5A_A,H3,canonical_H3,8355,False
5E5A_D,H2B,canonical_H2B,8355,False
5E5A_E,H3,canonical_H3,8355,False
5E5A_H,H2B,canonical_H2B,8355,False
5O9G_A,H3,canonical_H3,8355,False
5O9G_D,H2B,canonical_H2B,8355,False
5O9G_E,H3,canonical_H3,8355,False
6I84_M,H3,canonical_H3,8355,False
6I84_R,H2B,canonical_H2B,8355,False
6I84_S,H3,canonical_H3,8355,False
6I84_W,H2B,canonical_H2B,8355,False
6J99_A,H3,canonical_H3,8355,False
6J99_E,H3,canonical_H3,8355,False
6N1Z_C,H2B,canonical_H2B,8355,False
6N1Z_F,H2B,canonical_H2B,8355,False
6NE3_A,H3,canonical_H3,8355,False
6NE3_E,H3,canonical_H3,8355,False
6NZO_D,H2B,canonical_H2B,8355,False
6NZO_H,H2B,canonical_H2B,8355,False
6PX1_D,H2B,canonical_H2B,8355,False
6PX1_H,H2B,canonical_H2B,8355,False
6PX3_D,H2B,canonical_H2B,8355,False
6PX3_H,H2B,canonical_H2B,8355,False
A2Y5G8.1,H2A,H2A.W,39946,False
A4QVR2.1,H2A,H2A.Z,242507,False
AAA30025.1,H2B,canonical_H2B,7660,True
