species_name	ensembl_gene_id	gene_name	hgnc_id	vgnc_id	id_type	id_value	class	label
Macaca mulatta	ENSMMUG00000000962	H2AZ2		VGNC:81324	vgnc_id	VGNC:81324	variant	H2AZ2:VGNC:81324
Macaca mulatta	ENSMMUG00000006395	MACROH2A2		VGNC:109695	vgnc_id	VGNC:109695	variant	MACROH2A2:VGNC:109695
Macaca mulatta	ENSMMUG00000014465	MACROH2A1		VGNC:109697	vgnc_id	VGNC:109697	variant	MACROH2A1:VGNC:109697
Macaca mulatta	ENSMMUG00000018013	H2AJ		VGNC:99938	vgnc_id	VGNC:99938	variant	H2AJ:VGNC:99938
Macaca mulatta	ENSMMUG00000037540	H2AC20		VGNC:109690	vgnc_id	VGNC:109690	clustered	H2AC20:VGNC:109690
Macaca mulatta	ENSMMUG00000038454	H2AZ1		VGNC:109696	vgnc_id	VGNC:109696	variant	H2AZ1:VGNC:109696
Macaca mulatta	ENSMMUG00000039988	H2AC1		VGNC:109672	vgnc_id	VGNC:109672	clustered	H2AC1:VGNC:109672
Macaca mulatta	ENSMMUG00000041308	H2AC25		VGNC:109691	vgnc_id	VGNC:109691	clustered	H2AC25:VGNC:109691
Macaca mulatta	ENSMMUG00000042665	H2AC15		VGNC:109683	vgnc_id	VGNC:109683	clustered	H2AC15:VGNC:109683
Macaca mulatta	ENSMMUG00000044496	H2AX		VGNC:109694	vgnc_id	VGNC:109694	variant	H2AX:VGNC:109694
Macaca mulatta	ENSMMUG00000049519	H2AC17		VGNC:109686	vgnc_id	VGNC:109686	clustered	H2AC17:VGNC:109686
Macaca mulatta	ENSMMUG00000052150	H2AC14		VGNC:109685	vgnc_id	VGNC:109685	clustered	H2AC14:VGNC:109685
Macaca mulatta	ENSMMUG00000052414	H2AC11		VGNC:109681	vgnc_id	VGNC:109681	clustered	H2AC11:VGNC:109681
Macaca mulatta	ENSMMUG00000055745	H2AB2		VGNC:109668	vgnc_id	VGNC:109668	variant	H2AB2:VGNC:109668
Macaca mulatta	ENSMMUG00000055788	H2AC13		VGNC:109680	vgnc_id	VGNC:109680	clustered	H2AC13:VGNC:109680
Macaca mulatta	ENSMMUG00000059127	H2AB1		VGNC:109669	vgnc_id	VGNC:109669	variant	H2AB1:VGNC:109669
Macaca mulatta	ENSMMUG00000060294	H2AC6		VGNC:109676	vgnc_id	VGNC:109676	clustered	H2AC6:VGNC:109676
Macaca mulatta	ENSMMUG00000060663	H2AC8		VGNC:109678	vgnc_id	VGNC:109678	clustered	H2AC8:VGNC:109678
Macaca mulatta	ENSMMUG00000061036	H2AC21		VGNC:109689	vgnc_id	VGNC:109689	clustered	H2AC21:VGNC:109689
Macaca mulatta	ENSMMUG00000061750	H2AC12		VGNC:109682	vgnc_id	VGNC:109682	clustered	H2AC12:VGNC:109682
Macaca mulatta	ENSMMUG00000062046	H2AC16		VGNC:109684	vgnc_id	VGNC:109684	clustered	H2AC16:VGNC:109684
