accession,type,variant_group,variant,Histone variant,Clustered (canonical) isoform,ncbi_gene_id,hgnc_gene_name,Ensembl gene ID,Transcript stable ID,RefSeq mRNA ID,RefSeq peptide ID,Protein length,taxonomy_id,organism,phylum,class,taxonomy_group,info,references
NP_005309,H1,H1.0,H1.0_(Homo_sapiens),H1.0,,3005,H1-0,ENSG00000189060,ENST00000340857,NM_005318,NP_005309,194,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,26689747
NP_005316,H1,H1.1,H1.1_(Homo_sapiens),H1.1,,3024,H1-1,ENSG00000124610,ENST00000244573,NM_005325,NP_005316,215,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,26689747
NP_005310,H1,H1.2,H1.2_(Homo_sapiens),H1.2,,3006,H1-2,ENSG00000187837,ENST00000343677,NM_005319,NP_005310,213,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,26689747
NP_005311,H1,H1.3,H1.3_(Homo_sapiens),H1.3,,3007,H1-3,ENSG00000124575,ENST00000244534,NM_005320,NP_005311,221,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,26689747
NP_005312,H1,H1.4,H1.4_(Homo_sapiens),H1.4,,3008,H1-4,ENSG00000168298,ENST00000304218,NM_005321,NP_005312,219,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,26689747
NP_005313,H1,H1.5,H1.5_(Homo_sapiens),H1.5,,3009,H1-5,ENSG00000184357,ENST00000331442,NM_005322,NP_005313,226,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,26689747
NP_005314,H1,H1.6,H1.6_(Homo_sapiens),H1.6,,3010,H1-6,ENSG00000187475,ENST00000338379,NM_005323,NP_005314,207,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,26689747
NP_861453,H1,H1.7,H1.7_(Homo_sapiens),H1.7,,341567,H1-7,ENSG00000187166,ENST00000335017,NM_181788,NP_861453,255,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,26689747
NP_722575,H1,H1.8,H1.8_(Homo_sapiens),H1.8,,132243,H1-8,ENSG00000178804,ENST00000324382,NM_153833,NP_722575,346,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,26689747
NP_001295191,H1,H1.8,H1.8_(Homo_sapiens),H1.8,,132243,H1-8,ENSG00000178804,ENST00000503977,NM_001308262,NP_001295191,207,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,26689747
,H1,,,,,373861,H1-9P,ENSG00000188662,,,,30,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12920187 26689747 17852044
NP_006017,H1,H1.10,H1.10_(Homo_sapiens),H1.10,,8971,H1-10,ENSG00000184897,ENST00000333762,NM_006026,NP_006017,213,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,26689747
,H1,,,,,387325,H1-12P,ENSG00000216331,,,,,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,
NP_734466,H2A,cH2A,cH2A.1_(Homo_sapiens),clustered H2A,isoform_1,221613,H2AC1,ENSG00000164508,ENST00000297012,NM_170745,NP_734466,131,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,2011515 7068607 24506885
,H2A,,,,,387319,H2AC2P,ENSG00000216436,,,,,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,
,H2A,,,,,85303,H2AC3P,ENSG00000242387,,,,,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,
NP_003504,H2A,cH2A,cH2A.2_(Homo_sapiens),clustered H2A,isoform_2,8335,H2AC4,ENSG00000278463,ENST00000615868,NM_003513,NP_003504,130,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966 25731851
,H2A,,,,,10341,H2AC5P,ENSG000002348167,,,,,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,
NP_003503,H2A,cH2A,cH2A.3_(Homo_sapiens),clustered H2A,isoform_3,8334,H2AC6,ENSG00000180573,ENST00000377791,NM_003512,NP_003503,130,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966 25731851
NP_066409,H2A,cH2A,cH2A.4_(Homo_sapiens),clustered H2A,isoform_4,3013,H2AC7,ENSG00000196866,ENST00000341023,NM_021065,NP_066409,130,9606,Homo sapiens,Chordata,Mammalia,Mammalia,,12408966 25731851
