"accession","type","variant","isoform","protein_len","taxonomy id","organism","vgnc_id","hgnc_gene_name","ensembl_gene_id","species_name","order"
"XP_024844327.1","H2A","H2A.B","","175","9913","Cattle","VGNC:95387","","","Bos taurus","Artiodactyla"
"XP_015315478.1","H2A","clustered H2A","isoform_1","181","9913","Cattle","VGNC:83545","","ENSBTAG00000046992","Bos taurus","Artiodactyla"
"XP_002697551.1","H2A","clustered H2A","isoform_5","130","9913","Cattle","VGNC:83576","","ENSBTAG00000052895","Bos taurus","Artiodactyla"
"XP_059736715.1","H2A","clustered H2A","isoform_5","130","9913","Cattle","VGNC:83577","","ENSBTAG00000048599","Bos taurus","Artiodactyla"
"XP_010816805.1","H2A","clustered H2A","isoform_7","128","9913","Cattle","VGNC:83580","","ENSBTAG00000054548","Bos taurus","Artiodactyla"
"XP_010816748.1","H2A","clustered H2A","isoform_6","128","9913","Cattle","VGNC:109559","","ENSBTAG00000046373","Bos taurus","Artiodactyla"
"NP_001092190.1","H2A","clustered H2A","isoform_5","130","9913","Cattle","VGNC:83584","","ENSBTAG00000051969","Bos taurus","Artiodactyla"
"XP_003587761.1","H2A","clustered H2A","isoform_8","130","9913","Cattle","VGNC:83586","","ENSBTAG00000053621","Bos taurus","Artiodactyla"
"XP_005223785.1","H2A","clustered H2A","isoform_5","130","9913","Cattle","VGNC:83590","","","Bos taurus","Artiodactyla"
"XP_010816763.1","H2A","clustered H2A","isoform_5","130","9913","Cattle","VGNC:109562","","","Bos taurus","Artiodactyla"
"XP_002686102.1","H2A","clustered H2A","isoform_9","130","9913","Cattle","VGNC:83599","","ENSBTAG00000038476","Bos taurus","Artiodactyla"
"XP_002686100.1","H2A","clustered H2A","isoform_9","130","9913","Cattle","VGNC:83602","","ENSBTAG00000046003","Bos taurus","Artiodactyla"
"NP_001075189.1","H2A","clustered H2A","isoform_10","129","9913","Cattle","VGNC:83605","","ENSBTAG00000040098","Bos taurus","Artiodactyla"
"XP_002686098.1","H2A","clustered H2A","isoform_11","130","9913","Cattle","VGNC:83604","","ENSBTAG00000032456","Bos taurus","Artiodactyla"
"NP_001091566.1","H2A","clustered H2A","isoform_12","130","9913","Cattle","VGNC:83612","","ENSBTAG00000037964","Bos taurus","Artiodactyla"
"XP_010816817.1","H2A","clustered H2A","isoform_2","130","9913","Cattle","VGNC:83550","","ENSBTAG00000050614","Bos taurus","Artiodactyla"
"NP_001192525.1","H2A","clustered H2A","isoform_4","130","9913","Cattle","VGNC:83561","","ENSBTAG00000039657","Bos taurus","Artiodactyla"
"NP_001341951.1","H2A","clustered H2A","isoform_4","130","9913","Cattle","VGNC:83561","","ENSBTAG00000039657","Bos taurus","Artiodactyla"
"XP_010816815.1","H2A","clustered H2A","isoform_5","130","9913","Cattle","VGNC:83565","","ENSBTAG00000053792","Bos taurus","Artiodactyla"
"XP_015315464.1","H2A","clustered H2A","isoform_3","130","9913","Cattle","VGNC:83570","","ENSBTAG00000048743","Bos taurus","Artiodactyla"
"NP_001071557.1","H2A","H2A.J","","129","9913","Cattle","VGNC:83623","","ENSBTAG00000030503","Bos taurus","Artiodactyla"
"NP_001071426.1","H2A","H2A.L","","117","9913","Cattle","VGNC:109560","","ENSBTAG00000049451","Bos taurus","Artiodactyla"
"XP_003588236.1","H2A","H2A.L","","117","9913","Cattle","VGNC:109561","","ENSBTAG00000052113","Bos taurus","Artiodactyla"
"NP_001073248.1","H2A","H2A.X","","143","9913","Cattle","VGNC:83617","","ENSBTAG00000038047","Bos taurus","Artiodactyla"
"NP_777234.1","H2A","H2A.Z.1","","128","9913","Cattle","VGNC:83610","","ENSBTAG00000004428","Bos taurus","Artiodactyla"
"NP_001033286.1","H2A","H2A.Z.2","","128","9913","Cattle","VGNC:83607","","ENSBTAG00000016975","Bos taurus","Artiodactyla"
"XP_024850110.1","H2A","macroH2A.1","","339","9913","Cattle","VGNC:83608","","ENSBTAG00000016105","Bos taurus","Artiodactyla"
"XP_024850109.1","H2A","macroH2A.1","","371","9913","Cattle","VGNC:83608","","ENSBTAG00000016105","Bos taurus","Artiodactyla"
"XP_005209436.1","H2A","macroH2A.1","","368","9913","Cattle","VGNC:83608","","ENSBTAG00000016105","Bos taurus","Artiodactyla"
"XP_005209435.1","H2A","macroH2A.1","","369","9913","Cattle","VGNC:83608","","ENSBTAG00000016105","Bos taurus","Artiodactyla"
"XP_005209434.1","H2A","macroH2A.1","","372","9913","Cattle","VGNC:83608","","ENSBTAG00000016105","Bos taurus","Artiodactyla"
"XP_005209433.1","H2A","macroH2A.1","","372","9913","Cattle","VGNC:83608","","ENSBTAG00000016105","Bos taurus","Artiodactyla"
"NP_001039805.1","H2A","macroH2A.1","","371","9913","Cattle","VGNC:83608","","ENSBTAG00000016105","Bos taurus","Artiodactyla"
"NP_001069554.1","H2A","macroH2A.2","","372","9913","Cattle","VGNC:55987","","ENSBTAG00000001163","Bos taurus","Artiodactyla"
"XP_044907084.1","H2A","H2A.B","","113","9685","Cat","VGNC:109867","","","Felis catus","Carnivora"
"XP_006944207.1","H2A","H2A.B","","113","9685","Cat","VGNC:109866","","ENSFCAG00000044576","Felis catus","Carnivora"
"XP_004001120.3","H2A","H2A.B","","113","9685","Cat","VGNC:109868","","ENSFCAG00000044965","Felis catus","Carnivora"
"XP_003985787.1","H2A","clustered H2A","isoform_1","131","9685","Cat","VGNC:109870","","ENSFCAG00000027552","Felis catus","Carnivora"
"XP_003985754.1","H2A","clustered H2A","isoform_3","130","9685","Cat","VGNC:109876","","ENSFCAG00000044530","Felis catus","Carnivora"
"XP_003985742.2","H2A","clustered H2A","isoform_8","128","9685","Cat","VGNC:109879","","ENSFCAG00000051396","Felis catus","Carnivora"
"XP_003985740.1","H2A","clustered H2A","isoform_4","130","9685","Cat","VGNC:109883","","ENSFCAG00000040930","Felis catus","Carnivora"
"XP_023110466.1","H2A","clustered H2A","isoform_9","130","9685","Cat","VGNC:109881","","ENSFCAG00000043173","Felis catus","Carnivora"
"XP_011280368.1","H2A","clustered H2A","isoform_4","130","9685","Cat","VGNC:109882","","","Felis catus","Carnivora"
"XP_011280365.1","H2A","clustered H2A","isoform_4","130","9685","Cat","VGNC:109884","","ENSFCAG00000044591","Felis catus","Carnivora"
"XP_003990603.1","H2A","clustered H2A","isoform_11","130","9685","Cat","VGNC:109885","","","Felis catus","Carnivora"
"XP_003985820.2","H2A","clustered H2A","isoform_2","141","9685","Cat","VGNC:109871","","ENSFCAG00000030442","Felis catus","Carnivora"
"XP_003990605.3","H2A","clustered H2A","isoform_12","129","9685","Cat","VGNC:109888","","ENSFCAG00000040278","Felis catus","Carnivora"
"XP_003990606.1","H2A","clustered H2A","isoform_13","130","9685","Cat","VGNC:109887","","","Felis catus","Carnivora"
"XP_006927522.1","H2A","clustered H2A","isoform_14","130","9685","Cat","VGNC:109889","","ENSFCAG00000024530","Felis catus","Carnivora"
"XP_044914448.1","H2A","clustered H2A","isoform_3","130","9685","Cat","VGNC:109869","","","Felis catus","Carnivora"
"XP_011280386.2","H2A","clustered H2A","isoform_6","130","9685","Cat","VGNC:109873","","ENSFCAG00000043084","Felis catus","Carnivora"
"XP_003985768.1","H2A","clustered H2A","isoform_7","130","9685","Cat","VGNC:109874","","ENSFCAG00000053015","Felis catus","Carnivora"
"XP_019687248.2","H2A","clustered H2A","isoform_4","130","9685","Cat","VGNC:109872","","ENSFCAG00000041358","Felis catus","Carnivora"
"XP_011280380.1","H2A","clustered H2A","isoform_4","130","9685","Cat","VGNC:109875","","ENSFCAG00000048216","Felis catus","Carnivora"
"XP_003988491.1","H2A","H2A.J","","129","9685","Cat","VGNC:84028","","ENSFCAG00000031712","Felis catus","Carnivora"
"XP_023105303.1","H2A","H2A.L","","117","9685","Cat","VGNC:109890","","ENSFCAG00000052540","Felis catus","Carnivora"
"XP_004000502.1","H2A","H2A.P","","112","9685","Cat","VGNC:109891","","ENSFCAG00000048955","Felis catus","Carnivora"
"XP_003992480.1","H2A","H2A.X","","143","9685","Cat","VGNC:109892","","ENSFCAG00000051680","Felis catus","Carnivora"
"XP_023108679.1","H2A","H2A.Z.1","","128","9685","Cat","VGNC:109893","","ENSFCAG00000039458","Felis catus","Carnivora"
"XP_023105894.1","H2A","H2A.Z.2","","90","9685","Cat","VGNC:109894","","ENSFCAG00000010271","Felis catus","Carnivora"
"XP_023105893.1","H2A","H2A.Z.2","","128","9685","Cat","VGNC:109894","","ENSFCAG00000010271","Felis catus","Carnivora"
"XP_044915091.1","H2A","macroH2A.1","","377","9685","Cat","VGNC:81624","","ENSFCAG00000013924","Felis catus","Carnivora"
"XP_044915089.1","H2A","macroH2A.1","","378","9685","Cat","VGNC:81624","","ENSFCAG00000013924","Felis catus","Carnivora"
"XP_044915085.1","H2A","macroH2A.1","","380","9685","Cat","VGNC:81624","","ENSFCAG00000013924","Felis catus","Carnivora"
"XP_044915084.1","H2A","macroH2A.1","","381","9685","Cat","VGNC:81624","","ENSFCAG00000013924","Felis catus","Carnivora"
"XP_023111205.1","H2A","macroH2A.1","","368","9685","Cat","VGNC:81624","","ENSFCAG00000013924","Felis catus","Carnivora"
"XP_023111201.1","H2A","macroH2A.1","","369","9685","Cat","VGNC:81624","","ENSFCAG00000013924","Felis catus","Carnivora"
"XP_023111196.1","H2A","macroH2A.1","","371","9685","Cat","VGNC:81624","","ENSFCAG00000013924","Felis catus","Carnivora"
"XP_023111195.1","H2A","macroH2A.1","","372","9685","Cat","VGNC:81624","","ENSFCAG00000013924","Felis catus","Carnivora"
"XP_023096281.1","H2A","macroH2A.2","","372","9685","Cat","VGNC:81625","","ENSFCAG00000001225","Felis catus","Carnivora"
"XP_003317840.1","H2A","H2A.B","","115","9598","Chimpanzee","VGNC:83689","","","Pan troglodytes","Primates"
"XP_016800128.1","H2A","H2A.B","","115","9598","Chimpanzee","VGNC:83688","","","Pan troglodytes","Primates"
"XP_024208943.1","H2A","H2A.B","","115","9598","Chimpanzee","VGNC:83690","","","Pan troglodytes","Primates"
"XP_518282.1","H2A","clustered H2A","isoform_1","131","9598","Chimpanzee","VGNC:14358","","ENSPTRG00000017789","Pan troglodytes","Primates"
"XP_527265.2","H2A","clustered H2A","isoform_5","115","9598","Chimpanzee","VGNC:83647","","","Pan troglodytes","Primates"
"XP_063668326.1","H2A","clustered H2A","isoform_6","130","9598","Chimpanzee","VGNC:83651","","","Pan troglodytes","Primates"
"XP_063668327.1","H2A","clustered H2A","isoform_8","128","9598","Chimpanzee","VGNC:83655","","","Pan troglodytes","Primates"
"XP_054542623.1","H2A","clustered H2A","isoform_6","130","9598","Chimpanzee","VGNC:83654","","","Pan troglodytes","Primates"
"XP_001138786.1","H2A","clustered H2A","isoform_9","128","9598","Chimpanzee","VGNC:83658","","ENSPTRG00000045889","Pan troglodytes","Primates"
"XP_054542624.1","H2A","clustered H2A","isoform_7","130","9598","Chimpanzee","VGNC:83660","","","Pan troglodytes","Primates"
"XP_527283.2","H2A","clustered H2A","isoform_6","130","9598","Chimpanzee","VGNC:83664","","","Pan troglodytes","Primates"
"XP_016810562.1","H2A","clustered H2A","isoform_6","130","9598","Chimpanzee","VGNC:83669","","","Pan troglodytes","Primates"
"XP_003949577.1","H2A","clustered H2A","isoform_10","130","9598","Chimpanzee","VGNC:83676","","","Pan troglodytes","Primates"
"XP_016800323.1","H2A","clustered H2A","isoform_10","130","9598","Chimpanzee","VGNC:83679","","ENSPTRG00000046303","Pan troglodytes","Primates"
"XP_063653701.1","H2A","clustered H2A","isoform_11","129","9598","Chimpanzee","VGNC:14365","","ENSPTRG00000030411","Pan troglodytes","Primates"
"XP_001166488.1","H2A","clustered H2A","isoform_12","130","9598","Chimpanzee","VGNC:14364","","ENSPTRG00000047219","Pan troglodytes","Primates"
"XP_016796001.1","H2A","clustered H2A","isoform_13","130","9598","Chimpanzee","VGNC:83685","","ENSPTRG00000047640","Pan troglodytes","Primates"
"XP_063668246.1","H2A","clustered H2A","isoform_2","130","9598","Chimpanzee","VGNC:83628","","","Pan troglodytes","Primates"
"XP_003311096.1","H2A","clustered H2A","isoform_3","130","9598","Chimpanzee","VGNC:83635","","ENSPTRG00000043682","Pan troglodytes","Primates"
"XP_003311095.1","H2A","clustered H2A","isoform_3","130","9598","Chimpanzee","VGNC:83635","","ENSPTRG00000043682","Pan troglodytes","Primates"
"XP_003950795.1","H2A","clustered H2A","isoform_4","130","9598","Chimpanzee","VGNC:83640","","","Pan troglodytes","Primates"
"XP_063668245.1","H2A","clustered H2A","isoform_2","130","9598","Chimpanzee","VGNC:14372","","ENSPTRG00000045582","Pan troglodytes","Primates"
"NP_001361488.1","H2A","H2A.J","","129","9598","Chimpanzee","VGNC:52069","","ENSPTRG00000004723","Pan troglodytes","Primates"
"XP_016798178.2","H2A","H2A.L","","204","9598","Chimpanzee","VGNC:109586","","","Pan troglodytes","Primates"
"XP_003317470.2","H2A","H2A.P","","117","9598","Chimpanzee","VGNC:1369","","ENSPTRG00000021794","Pan troglodytes","Primates"
"XP_016777617.1","H2A","H2A.X","","143","9598","Chimpanzee","VGNC:12576","","ENSPTRG00000004369","Pan troglodytes","Primates"
"XP_517363.3","H2A","H2A.Z.1","","128","9598","Chimpanzee","VGNC:83681","","ENSPTRG00000016312","Pan troglodytes","Primates"
"XP_016800800.1","H2A","H2A.Z.2","","66","9598","Chimpanzee","VGNC:14019","","ENSPTRG00000019153","Pan troglodytes","Primates"
"XP_016800799.1","H2A","H2A.Z.2","","90","9598","Chimpanzee","VGNC:14019","","ENSPTRG00000019153","Pan troglodytes","Primates"
"XP_016800798.1","H2A","H2A.Z.2","","102","9598","Chimpanzee","VGNC:14019","","ENSPTRG00000019153","Pan troglodytes","Primates"
"XP_016800797.1","H2A","H2A.Z.2","","114","9598","Chimpanzee","VGNC:14019","","ENSPTRG00000019153","Pan troglodytes","Primates"
"XP_016800796.1","H2A","H2A.Z.2","","128","9598","Chimpanzee","VGNC:14019","","ENSPTRG00000019153","Pan troglodytes","Primates"
"NP_001229351.1","H2A","macroH2A.1","","372","9598","Chimpanzee","VGNC:4025","","ENSPTRG00000017256","Pan troglodytes","Primates"
"XP_063666194.1","H2A","macroH2A.1","","357","9598","Chimpanzee","VGNC:4025","","ENSPTRG00000017256","Pan troglodytes","Primates"
"XP_063666193.1","H2A","macroH2A.1","","358","9598","Chimpanzee","VGNC:4025","","ENSPTRG00000017256","Pan troglodytes","Primates"
"XP_063666192.1","H2A","macroH2A.1","","360","9598","Chimpanzee","VGNC:4025","","ENSPTRG00000017256","Pan troglodytes","Primates"
"XP_063666191.1","H2A","macroH2A.1","","361","9598","Chimpanzee","VGNC:4025","","ENSPTRG00000017256","Pan troglodytes","Primates"
"XP_009447783.1","H2A","macroH2A.1","","368","9598","Chimpanzee","VGNC:4025","","ENSPTRG00000017256","Pan troglodytes","Primates"
"XP_009447782.1","H2A","macroH2A.1","","369","9598","Chimpanzee","VGNC:4025","","ENSPTRG00000017256","Pan troglodytes","Primates"
"XP_009447781.1","H2A","macroH2A.1","","371","9598","Chimpanzee","VGNC:4025","","ENSPTRG00000017256","Pan troglodytes","Primates"
"XP_001170543.2","H2A","macroH2A.2","","372","9598","Chimpanzee","VGNC:5462","","ENSPTRG00000002581","Pan troglodytes","Primates"
"XP_038320746.1","H2A","H2A.B","","367.0","9615","Dog","VGNC:83746","","ENSCAFG00000028471","Canis lupus familiaris","Carnivora"
"XP_038302442.1","H2A","clustered H2A","isoform_1","131.0","9615","Dog","VGNC:83710","","ENSCAFG00000024315","Canis lupus familiaris","Carnivora"
"XP_038440237.1","H2A","clustered H2A","isoform_2","132.0","9615","Dog","VGNC:83710","","ENSCAFG00000024315","Canis lupus familiaris","Carnivora"
"XP_038302530.1","H2A","clustered H2A","isoform_7","130.0","9615","Dog","VGNC:83722","","ENSCAFG00000030507","Canis lupus familiaris","Carnivora"
"XP_013965993.1","H2A","clustered H2A","isoform_7","130.0","9615","Dog","VGNC:83722","","ENSCAFG00000030507","Canis lupus familiaris","Carnivora"
"XP_038440339.1","H2A","clustered H2A","isoform_7","130.0","9615","Dog","VGNC:83722","","ENSCAFG00000030507","Canis lupus familiaris","Carnivora"
"XP_038318984.1","H2A","clustered H2A","isoform_13","93.0","9615","Dog","VGNC:83725","","ENSCAFG00000049775","Canis lupus familiaris","Carnivora"
"XP_545413.1","H2A","clustered H2A","isoform_14","128.0","9615","Dog","VGNC:83725","","ENSCAFG00000049775","Canis lupus familiaris","Carnivora"
"XP_038302531.1","H2A","clustered H2A","isoform_8","130.0","9615","Dog","VGNC:83724","","ENSCAFG00000029759","Canis lupus familiaris","Carnivora"
"XP_022270322.1","H2A","clustered H2A","isoform_8","130.0","9615","Dog","VGNC:83724","","ENSCAFG00000029759","Canis lupus familiaris","Carnivora"
"XP_038440340.1","H2A","clustered H2A","isoform_8","130.0","9615","Dog","VGNC:83724","","ENSCAFG00000029759","Canis lupus familiaris","Carnivora"
"XP_038302527.1","H2A","clustered H2A","isoform_15","128.0","9615","Dog","VGNC:83742","","ENSCAFG00000029078","Canis lupus familiaris","Carnivora"
"XP_022270324.1","H2A","clustered H2A","isoform_15","128.0","9615","Dog","VGNC:83742","","ENSCAFG00000029078","Canis lupus familiaris","Carnivora"
"XP_038440336.1","H2A","clustered H2A","isoform_15","128.0","9615","Dog","VGNC:83742","","ENSCAFG00000029078","Canis lupus familiaris","Carnivora"
"XP_038302552.1","H2A","clustered H2A","isoform_9","130.0","9615","Dog","VGNC:83759","","ENSCAFG00000044066","Canis lupus familiaris","Carnivora"
"XP_013965992.1","H2A","clustered H2A","isoform_9","130.0","9615","Dog","VGNC:83759","","ENSCAFG00000044066","Canis lupus familiaris","Carnivora"
"XP_038440361.1","H2A","clustered H2A","isoform_9","130.0","9615","Dog","VGNC:83759","","ENSCAFG00000044066","Canis lupus familiaris","Carnivora"
"XP_038302609.1","H2A","clustered H2A","isoform_10","119.0","9615","Dog","VGNC:83727","","ENSCAFG00000047415","Canis lupus familiaris","Carnivora"
"XP_013965973.1","H2A","clustered H2A","isoform_11","119.0","9615","Dog","VGNC:83727","","ENSCAFG00000047415","Canis lupus familiaris","Carnivora"
"XP_038440417.1","H2A","clustered H2A","isoform_12","119.0","9615","Dog","VGNC:83727","","ENSCAFG00000047415","Canis lupus familiaris","Carnivora"
"XP_038302550.1","H2A","clustered H2A","isoform_9","130.0","9615","Dog","VGNC:83730","","ENSCAFG00000028830","Canis lupus familiaris","Carnivora"
"XP_013965994.3","H2A","clustered H2A","isoform_9","130.0","9615","Dog","VGNC:83730","","ENSCAFG00000028830","Canis lupus familiaris","Carnivora"
"XP_038440362.1","H2A","clustered H2A","isoform_9","130.0","9615","Dog","VGNC:83730","","ENSCAFG00000028830","Canis lupus familiaris","Carnivora"
"XP_850808.1","H2A","clustered H2A","isoform_16","130.0","9615","Dog","VGNC:83737","","ENSCAFG00000043458","Canis lupus familiaris","Carnivora"
"XP_540286.2","H2A","clustered H2A","isoform_16","130.0","9615","Dog","VGNC:83704","","","Canis lupus familiaris","Carnivora"
"XP_545376.3","H2A","clustered H2A","isoform_20","161.0","9615","Dog","VGNC:83713","","ENSCAFG00000044672","Canis lupus familiaris","Carnivora"
"XP_038278937.1","H2A","clustered H2A","isoform_17","129.0","9615","Dog","VGNC:83751","","ENSCAFG00000011574","Canis lupus familiaris","Carnivora"
"XP_003639664.1","H2A","clustered H2A","isoform_17","129.0","9615","Dog","VGNC:83751","","ENSCAFG00000011574","Canis lupus familiaris","Carnivora"
"XP_038418002.1","H2A","clustered H2A","isoform_17","129.0","9615","Dog","VGNC:83751","","ENSCAFG00000011574","Canis lupus familiaris","Carnivora"
"XP_038278936.1","H2A","clustered H2A","isoform_18","130.0","9615","Dog","VGNC:83750","","","Canis lupus familiaris","Carnivora"
"XP_003639665.1","H2A","clustered H2A","isoform_18","130.0","9615","Dog","VGNC:83750","","","Canis lupus familiaris","Carnivora"
"XP_038418001.1","H2A","clustered H2A","isoform_18","130.0","9615","Dog","VGNC:83750","","","Canis lupus familiaris","Carnivora"
"XP_038541965.1","H2A","clustered H2A","isoform_19","130.0","9615","Dog","VGNC:83700","","ENSCAFG00000024329","Canis lupus familiaris","Carnivora"
"XP_005628406.1","H2A","clustered H2A","isoform_19","130.0","9615","Dog","VGNC:83700","","ENSCAFG00000024329","Canis lupus familiaris","Carnivora"
"XP_038412336.1","H2A","clustered H2A","isoform_19","130.0","9615","Dog","VGNC:83700","","ENSCAFG00000024329","Canis lupus familiaris","Carnivora"
"XP_038302477.1","H2A","clustered H2A","isoform_4","130.0","9615","Dog","VGNC:83766","","","Canis lupus familiaris","Carnivora"
"XP_022270159.1","H2A","clustered H2A","isoform_4","130.0","9615","Dog","VGNC:83766","","","Canis lupus familiaris","Carnivora"
"XP_038440277.1","H2A","clustered H2A","isoform_4","130.0","9615","Dog","VGNC:83766","","","Canis lupus familiaris","Carnivora"
"XP_038302476.1","H2A","clustered H2A","isoform_9","130.0","9615","Dog","VGNC:83715","","ENSCAFG00000031754","Canis lupus familiaris","Carnivora"
"XP_013966034.1","H2A","clustered H2A","isoform_9","130.0","9615","Dog","VGNC:83715","","ENSCAFG00000031754","Canis lupus familiaris","Carnivora"
"XP_038440276.1","H2A","clustered H2A","isoform_9","130.0","9615","Dog","VGNC:83715","","ENSCAFG00000031754","Canis lupus familiaris","Carnivora"
"XP_038302475.1","H2A","clustered H2A","isoform_5","130.0","9615","Dog","VGNC:83720","","ENSCAFG00000031860","Canis lupus familiaris","Carnivora"
"XP_005640150.1","H2A","clustered H2A","isoform_5","130.0","9615","Dog","VGNC:83720","","ENSCAFG00000031860","Canis lupus familiaris","Carnivora"
"XP_038440275.1","H2A","clustered H2A","isoform_5","130.0","9615","Dog","VGNC:83720","","ENSCAFG00000031860","Canis lupus familiaris","Carnivora"
"XP_013966033.1","H2A","clustered H2A","isoform_9","130.0","9615","Dog","VGNC:95372","","ENSCAFG00000043442","Canis lupus familiaris","Carnivora"
"XP_038302474.1","H2A","clustered H2A","isoform_3","133.0","9615","Dog","VGNC:83758","","","Canis lupus familiaris","Carnivora"
"XP_003640210.2","H2A","clustered H2A","isoform_9","130.0","9615","Dog","VGNC:83758","","","Canis lupus familiaris","Carnivora"
"XP_038318983.1","H2A","clustered H2A","isoform_9","130.0","9615","Dog","VGNC:83758","","","Canis lupus familiaris","Carnivora"
"XP_038440274.1","H2A","clustered H2A","isoform_3","133.0","9615","Dog","VGNC:83758","","","Canis lupus familiaris","Carnivora"
"NP_001361454.2","H2A","clustered H2A","isoform_6","130.0","9615","Dog","VGNC:83770","","ENSCAFG00000045621","Canis lupus familiaris","Carnivora"
"XP_038294868.1","H2A","H2A.J","","129.0","9615","Dog","VGNC:83708","","ENSCAFG00000012984","Canis lupus familiaris","Carnivora"
"XP_543796.1","H2A","H2A.J","","129.0","9615","Dog","VGNC:83708","","ENSCAFG00000012984","Canis lupus familiaris","Carnivora"
"XP_038432800.1","H2A","H2A.J","","129.0","9615","Dog","VGNC:83708","","ENSCAFG00000012984","Canis lupus familiaris","Carnivora"
"XP_038304867.1","H2A","H2A.L","","128.0","9615","Dog","VGNC:109581","","ENSCAFG00000043054","Canis lupus familiaris","Carnivora"
"XP_548938.1","H2A","H2A.L","","128.0","9615","Dog","VGNC:109581","","ENSCAFG00000043054","Canis lupus familiaris","Carnivora"
"XP_038442417.1","H2A","H2A.L","","128.0","9615","Dog","VGNC:109581","","ENSCAFG00000043054","Canis lupus familiaris","Carnivora"
"XP_038305691.1","H2A","H2A.L","","128.0","9615","Dog","VGNC:109582","","ENSCAFG00000041985","Canis lupus familiaris","Carnivora"
"XP_548947.1","H2A","H2A.L","","128.0","9615","Dog","VGNC:109582","","ENSCAFG00000041985","Canis lupus familiaris","Carnivora"
"XP_038443099.1","H2A","H2A.L","","128.0","9615","Dog","VGNC:109582","","ENSCAFG00000041985","Canis lupus familiaris","Carnivora"
"XP_038305692.1","H2A","H2A.P","","121.0","9615","Dog","VGNC:83749","","","Canis lupus familiaris","Carnivora"
"XP_005641297.1","H2A","H2A.P","","121.0","9615","Dog","VGNC:83749","","","Canis lupus familiaris","Carnivora"
"XP_038443100.1","H2A","H2A.P","","121.0","9615","Dog","VGNC:83749","","","Canis lupus familiaris","Carnivora"
"XP_038305150.1","H2A","H2A.Q","","105.0","9615","Dog","VGNC:109580","","","Canis lupus familiaris","Carnivora"
"XP_013966888.1","H2A","H2A.Q","","105.0","9615","Dog","VGNC:109580","","","Canis lupus familiaris","Carnivora"
"XP_038444771.1","H2A","H2A.Q","","105.0","9615","Dog","VGNC:109580","","","Canis lupus familiaris","Carnivora"
"XP_038520614.1","H2A","H2A.X","","143.0","9615","Dog","VGNC:83734","","ENSCAFG00000012332","Canis lupus familiaris","Carnivora"
"XP_003640205.1","H2A","H2A.X","","143.0","9615","Dog","VGNC:83734","","ENSCAFG00000012332","Canis lupus familiaris","Carnivora"
"XP_003640206.1","H2A","H2A.X","","143.0","9615","Dog","VGNC:83734","","ENSCAFG00000012332","Canis lupus familiaris","Carnivora"
"NP_001274021.1","H2A","H2A.Z.1","","128.0","9615","Dog","VGNC:83696","","ENSCAFG00000010615","Canis lupus familiaris","Carnivora"
"XP_038299721.1","H2A","H2A.Z.1","","102.0","9615","Dog","VGNC:83696","","ENSCAFG00000010615","Canis lupus familiaris","Carnivora"
"XP_038545201.1","H2A","H2A.Z.2","","90.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723","Canis lupus familiaris","Carnivora"
