gene_name,canonical_gene_name,species_count,species,species_with_gene,species_ensembl_ids,detail_index_path
H2AJ,H2AJ,8,"bos_taurus,canis_lupus_familiaris,equus_caballus,felis_catus,human,macaca_mulatta,pan_troglodytes,sus_scrofa","bos_taurus,canis_lupus_familiaris,equus_caballus,felis_catus,human,macaca_mulatta,pan_troglodytes,sus_scrofa",bos_taurus:ENSBTAG00000030503|canis_lupus_familiaris:ENSCAFG00000012984|equus_caballus:ENSECAG00000034818|felis_catus:ENSFCAG00000031712|human:ENSG00000246705|macaca_mulatta:ENSMMUG00000018013|pan_troglodytes:ENSPTRG00000004723|sus_scrofa:ENSSSCG00000039307,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
H2AZ1,H2AZ1,8,"bos_taurus,canis_lupus_familiaris,equus_caballus,felis_catus,human,macaca_mulatta,pan_troglodytes,sus_scrofa","bos_taurus,canis_lupus_familiaris,equus_caballus,felis_catus,human,macaca_mulatta,pan_troglodytes,sus_scrofa",bos_taurus:ENSBTAG00000004428|canis_lupus_familiaris:ENSCAFG00000010615|equus_caballus:ENSECAG00000023732|felis_catus:ENSFCAG00000039458|human:ENSG00000164032|macaca_mulatta:ENSMMUG00000038454|pan_troglodytes:ENSPTRG00000016312|sus_scrofa:ENSSSCG00000009178,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
H2AZ2,H2AZ2,8,"bos_taurus,canis_lupus_familiaris,equus_caballus,felis_catus,human,macaca_mulatta,pan_troglodytes,sus_scrofa","bos_taurus,canis_lupus_familiaris,equus_caballus,felis_catus,human,macaca_mulatta,pan_troglodytes,sus_scrofa",bos_taurus:ENSBTAG00000016975|canis_lupus_familiaris:ENSCAFG00000032723|equus_caballus:ENSECAG00000016692|felis_catus:ENSFCAG00000010271|human:ENSG00000105968|macaca_mulatta:ENSMMUG00000000962|pan_troglodytes:ENSPTRG00000019153|sus_scrofa:ENSSSCG00000016738,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
MACROH2A1,MACROH2A1,8,"bos_taurus,canis_lupus_familiaris,equus_caballus,felis_catus,human,macaca_mulatta,pan_troglodytes,sus_scrofa","bos_taurus,canis_lupus_familiaris,equus_caballus,felis_catus,human,macaca_mulatta,pan_troglodytes,sus_scrofa",bos_taurus:ENSBTAG00000016105|canis_lupus_familiaris:ENSCAFG00000001076|equus_caballus:ENSECAG00000010224|felis_catus:ENSFCAG00000013924|human:ENSG00000113648|macaca_mulatta:ENSMMUG00000014465|pan_troglodytes:ENSPTRG00000017256|sus_scrofa:ENSSSCG00000014307,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
MACROH2A2,MACROH2A2,8,"bos_taurus,canis_lupus_familiaris,equus_caballus,felis_catus,human,macaca_mulatta,pan_troglodytes,sus_scrofa","bos_taurus,canis_lupus_familiaris,equus_caballus,felis_catus,human,macaca_mulatta,pan_troglodytes,sus_scrofa",bos_taurus:ENSBTAG00000001163|canis_lupus_familiaris:ENSCAFG00000014002|equus_caballus:ENSECAG00000019223|felis_catus:ENSFCAG00000001225|human:ENSG00000099284|macaca_mulatta:ENSMMUG00000006395|pan_troglodytes:ENSPTRG00000002581|sus_scrofa:ENSSSCG00000031713,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
H2AC14,H2AC14,7,"bos_taurus,canis_lupus_familiaris,felis_catus,human,macaca_mulatta,pan_troglodytes,sus_scrofa","bos_taurus,canis_lupus_familiaris,felis_catus,human,macaca_mulatta,pan_troglodytes,sus_scrofa",bos_taurus:ENSBTAG00000051969|canis_lupus_familiaris:ENSCAFG00000029078|felis_catus:ENSFCAG00000040930|human:ENSG00000276368|macaca_mulatta:ENSMMUG00000052150|pan_troglodytes:ENSPTRG00000045889|sus_scrofa:ENSSSCG00000032609,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
H2AC6,H2AC6,7,"bos_taurus,canis_lupus_familiaris,equus_caballus,felis_catus,human,macaca_mulatta,pan_troglodytes","bos_taurus,canis_lupus_familiaris,equus_caballus,felis_catus,human,macaca_mulatta,pan_troglodytes",bos_taurus:ENSBTAG00000039657|canis_lupus_familiaris:ENSCAFG00000031860|equus_caballus:ENSECAG00000037338|felis_catus:ENSFCAG00000053015|human:ENSG00000180573|macaca_mulatta:ENSMMUG00000060294|pan_troglodytes:ENSPTRG00000043682,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
H2AX,H2AX,7,"canis_lupus_familiaris,equus_caballus,felis_catus,human,macaca_mulatta,pan_troglodytes,sus_scrofa","canis_lupus_familiaris,equus_caballus,felis_catus,human,macaca_mulatta,pan_troglodytes,sus_scrofa",canis_lupus_familiaris:ENSCAFG00000012332|equus_caballus:ENSECAG00000029766|felis_catus:ENSFCAG00000051680|human:ENSG00000188486|macaca_mulatta:ENSMMUG00000044496|pan_troglodytes:ENSPTRG00000004369|sus_scrofa:ENSSSCG00000042208,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
H2AC1,H2AC1,6,"bos_taurus,canis_lupus_familiaris,felis_catus,human,macaca_mulatta,pan_troglodytes","bos_taurus,canis_lupus_familiaris,felis_catus,human,macaca_mulatta,pan_troglodytes",bos_taurus:ENSBTAG00000046992|canis_lupus_familiaris:ENSCAFG00000024315|felis_catus:ENSFCAG00000027552|human:ENSG00000164508|macaca_mulatta:ENSMMUG00000039988|pan_troglodytes:ENSPTRG00000017789,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
H2AC11,H2AC11,6,"bos_taurus,canis_lupus_familiaris,equus_caballus,human,macaca_mulatta,sus_scrofa","bos_taurus,canis_lupus_familiaris,equus_caballus,human,macaca_mulatta,sus_scrofa",bos_taurus:ENSBTAG00000048599|canis_lupus_familiaris:ENSCAFG00000030507|equus_caballus:ENSECAG00000041373|human:ENSG00000196787|macaca_mulatta:ENSMMUG00000052414|sus_scrofa:ENSSSCG00000033451,CURATED_SET/BioAnalyze/data/gene_compare/index/shared_h2a_gene_names_across_species_detail.csv
