axis	gene_number	gene_name	class	aligned_gene_id	pan_gene_id
OY	1	H2AC1	clustered	ENSG00000164508	ENSPTRG00000017789
OY	2	H2AC14	clustered	ENSG00000276368	ENSPTRG00000045889
OY	3	H2AC19	clustered	ENSG00000272196	ENSPTRG00000046303
OY	4	H2AC21	clustered	ENSG00000184270	ENSPTRG00000047219
OY	5	H2AC25	clustered	ENSG00000181218	ENSPTRG00000047640
OY	6	H2AC6	clustered	ENSG00000180573	ENSPTRG00000043682
OY	7	H2AC8	clustered	ENSG00000277075	ENSPTRG00000045582
OY	8	H2AJ	variant	ENSG00000246705	ENSPTRG00000004723
OY	9	H2AP	variant	ENSG00000187516	ENSPTRG00000021794
OY	10	H2AX	variant	ENSG00000188486	ENSPTRG00000004369
OY	11	H2AZ1	variant	ENSG00000164032	ENSPTRG00000016312
OY	12	H2AZ2	variant	ENSG00000105968	ENSPTRG00000019153
OY	13	MACROH2A1	variant	ENSG00000113648	ENSPTRG00000017256
OY	14	MACROH2A2	variant	ENSG00000099284	ENSPTRG00000002581
