accession,hmm_model,score,used_for_classification
NP_003520.1,canonical_H3,287.5,True
NP_001180643.1,canonical_H3,287.5,True
NP_659539.1,canonical_H3,287.5,True
XP_527254.2,canonical_H3,287.5,True
NP_001027285.1,canonical_H3,286.9,True
NP_001268409.1,canonical_H3,286.9,True
CAA32434.1,canonical_H3,286.0,True
NP_001091119.1,canonical_H3,285.5,True
NP_195713.1,canonical_H3,284.8,False
NP_195713.1,canonical_H3,284.8,False
NP_001050276.1,canonical_H3,284.8,True
XP_002977792.1,canonical_H3,284.8,True
XP_002999294.1,canonical_H3,284.7,True
XP_002288694.1,canonical_H3,284.4,True
NP_189372.1,canonical_H3,283.9,True
NP_001044904.1,canonical_H3,283.9,True
XP_005537317.1,canonical_H3,283.4,True
XP_002788889.1,canonical_H3,283.3,True
NP_511095.1,canonical_H3,282.9,False
NP_032236.1,canonical_H3,282.9,False
NP_446437.1,canonical_H3,282.9,False
NP_509344.1,canonical_H3,282.7,True
AAM95790.1,canonical_H3,282.1,False
XP_002895320.1,canonical_H3,281.7,False
Q7XYZ0.3,canonical_H3,281.6,True
NP_003484.1,canonical_H3,281.3,False
XP_002293701.1,canonical_H3,281.0,False
XP_724814.1,canonical_H3,280.2,True
XP_003804825.1,canonical_H3,279.2,False
AAH81561.1,canonical_H3,279.2,False
XP_725474.1,canonical_H3,278.7,False
XP_966164.1,canonical_H3,278.7,True
XP_713710.1,canonical_H3,276.9,False
XP_460476.1,canonical_H3,276.1,True
XP_456791.1,canonical_H3,276.0,False
XP_719887.1,canonical_H3,275.9,True
XP_956003.1,canonical_H3,275.9,True
XP_006969783.1,canonical_H3,275.9,False
XP_003954426.1,canonical_H3,275.9,False
AAP80725.1,canonical_H3,275.4,False
P10651.2,canonical_H3,272.3,False
NP_009564.1,canonical_H3,271.4,False
NP_009564.1,canonical_H3,271.4,False
XP_001016594.3,canonical_H3,271.1,True
NP_001013721.2,canonical_H3,268.5,False
XP_567545.1,canonical_H3,268.0,False
XP_001008397.1,canonical_H3,259.9,False
XP_001713521.1,canonical_H3,249.4,True
NOGI_5,canonical_H3,239.9,False
NOGI_4,canonical_H3,237.9,False
NOGI_3,canonical_H3,237.2,False
NOGI_1,canonical_H3,232.4,False
NOGI_2,canonical_H3,232.4,False
NOGI_7,canonical_H3,230.9,False
NOGI_6,canonical_H3,229.7,False
XP_001218942.1,canonical_H3,210.5,True
EAX08008.1,canonical_H3,167.1,False
NP_596473.1,canonical_H3,160.1,False
NP_012875.2,canonical_H3,147.3,False
XP_005535607.1,canonical_H3,145.5,False
XP_002287626.1,canonical_H3,144.7,False
XP_001350068.1,canonical_H3,139.7,False
AAK39657.1,canonical_H3,129.0,False
NP_563627.1,canonical_H3,125.1,False
XP_001011273.1,canonical_H3,124.2,False
NP_499128.1,canonical_H3,119.8,False
NP_001800.1,canonical_H3,116.5,False
NP_031707.1,canonical_H3,108.0,False
XP_002767160.1,canonical_H3,103.7,False
XP_009526809.1,canonical_H3,92.6,False
NP_523730.2,canonical_H3,60.9,False
NOGI_4,H3.Y,307.2,True
NOGI_5,H3.Y,305.8,True
NOGI_3,H3.Y,304.4,True
NOGI_6,H3.Y,299.3,True
NOGI_1,H3.Y,292.3,True
NOGI_2,H3.Y,292.3,True
NOGI_7,H3.Y,286.8,True
EAX08008.1,H3.Y,276.4,True
NP_511095.1,H3.Y,243.8,False
NP_032236.1,H3.Y,243.8,False
NP_446437.1,H3.Y,243.8,False
NP_509344.1,H3.Y,243.5,False
AAH81561.1,H3.Y,240.2,False
NP_001027285.1,H3.Y,236.0,False
NP_001268409.1,H3.Y,236.0,False
XP_002895320.1,H3.Y,235.8,False
XP_003954426.1,H3.Y,234.9,False
CAA32434.1,H3.Y,234.7,False
NP_001091119.1,H3.Y,234.7,False
NP_195713.1,H3.Y,234.2,False
NP_195713.1,H3.Y,234.2,False
NP_001050276.1,H3.Y,234.2,False
XP_002977792.1,H3.Y,234.2,False
NP_189372.1,H3.Y,234.1,False
NP_001044904.1,H3.Y,234.1,False
NP_003520.1,H3.Y,233.9,False
NP_001180643.1,H3.Y,233.9,False
NP_659539.1,H3.Y,233.9,False
XP_527254.2,H3.Y,233.9,False
XP_005537317.1,H3.Y,233.2,False
XP_002788889.1,H3.Y,232.7,False
XP_713710.1,H3.Y,232.2,False
XP_002293701.1,H3.Y,232.0,False
XP_002288694.1,H3.Y,231.1,False
XP_002999294.1,H3.Y,230.8,False
AAM95790.1,H3.Y,230.4,False
XP_719887.1,H3.Y,230.2,False
XP_956003.1,H3.Y,230.2,False
XP_006969783.1,H3.Y,230.2,False
P10651.2,H3.Y,229.6,False
XP_456791.1,H3.Y,229.1,False
XP_460476.1,H3.Y,228.7,False
XP_567545.1,H3.Y,227.9,False
XP_724814.1,H3.Y,227.6,False
NP_001013721.2,H3.Y,227.4,False
AAP80725.1,H3.Y,227.2,False
NP_003484.1,H3.Y,226.5,False
Q7XYZ0.3,H3.Y,225.8,False
XP_001016594.3,H3.Y,225.1,False
XP_725474.1,H3.Y,224.7,False
XP_966164.1,H3.Y,224.7,False
XP_003804825.1,H3.Y,224.5,False
NP_009564.1,H3.Y,223.4,False
NP_009564.1,H3.Y,223.4,False
XP_001008397.1,H3.Y,218.3,False
XP_001713521.1,H3.Y,184.8,False
NP_596473.1,H3.Y,136.6,False
XP_005535607.1,H3.Y,133.3,False
XP_002287626.1,H3.Y,123.4,False
XP_001350068.1,H3.Y,121.6,False
XP_001218942.1,H3.Y,120.7,False
NP_012875.2,H3.Y,117.4,False
NP_499128.1,H3.Y,107.7,False
NP_563627.1,H3.Y,107.1,False
NP_001800.1,H3.Y,96.4,False
AAK39657.1,H3.Y,96.4,False
XP_001011273.1,H3.Y,93.1,False
NP_031707.1,H3.Y,84.6,False
XP_009526809.1,H3.Y,79.3,False
XP_002767160.1,H3.Y,79.1,False
NP_523730.2,H3.Y,47.5,False
XP_002767160.1,cenH3,429.1,True
NP_499128.1,cenH3,318.2,True
XP_005535607.1,cenH3,298.9,True
NP_012875.2,cenH3,247.1,True
NP_523730.2,cenH3,210.6,True
XP_725474.1,cenH3,206.2,False
XP_966164.1,cenH3,206.2,False
AAM95790.1,cenH3,205.5,False
XP_001011273.1,cenH3,205.5,True
XP_002895320.1,cenH3,205.1,False
XP_002293701.1,cenH3,203.8,False
XP_002288694.1,cenH3,203.1,False
XP_002788889.1,cenH3,202.9,False
XP_724814.1,cenH3,202.7,False
NP_003520.1,cenH3,202.2,False
NP_001180643.1,cenH3,202.2,False
NP_659539.1,cenH3,202.2,False
XP_527254.2,cenH3,202.2,False
NP_001027285.1,cenH3,201.9,False
NP_001268409.1,cenH3,201.9,False
NP_195713.1,cenH3,201.7,False
NP_195713.1,cenH3,201.7,False
NP_001050276.1,cenH3,201.7,False
XP_002977792.1,cenH3,201.7,False
CAA32434.1,cenH3,201.4,False
XP_002999294.1,cenH3,200.7,False
AAH81561.1,cenH3,200.6,False
XP_001016594.3,cenH3,200.4,False
NP_511095.1,cenH3,200.4,False
NP_032236.1,cenH3,200.4,False
NP_446437.1,cenH3,200.4,False
NP_001091119.1,cenH3,200.3,False
NP_509344.1,cenH3,200.3,False
XP_005537317.1,cenH3,200.0,False
XP_001350068.1,cenH3,199.8,True
NP_596473.1,cenH3,199.1,True
NP_189372.1,cenH3,199.0,False
NP_001044904.1,cenH3,199.0,False
XP_003954426.1,cenH3,197.4,False
NP_563627.1,cenH3,196.8,True
NP_001013721.2,cenH3,196.2,False
Q7XYZ0.3,cenH3,195.8,False
XP_001008397.1,cenH3,194.7,False
XP_003804825.1,cenH3,194.3,False
NP_003484.1,cenH3,194.2,False
NOGI_5,cenH3,192.4,False
XP_001713521.1,cenH3,192.0,False
XP_719887.1,cenH3,192.0,False
XP_713710.1,cenH3,191.3,False
NOGI_7,cenH3,191.2,False
AAP80725.1,cenH3,190.7,False
XP_460476.1,cenH3,190.0,False
NOGI_4,cenH3,189.4,False
XP_956003.1,cenH3,188.9,False
XP_006969783.1,cenH3,188.9,False
P10651.2,cenH3,188.9,False
XP_567545.1,cenH3,188.7,False
NP_001800.1,cenH3,188.4,True
XP_456791.1,cenH3,187.2,False
NOGI_1,cenH3,186.4,False
NOGI_2,cenH3,186.4,False
NOGI_6,cenH3,185.9,False
NOGI_3,cenH3,185.6,False
NP_031707.1,cenH3,185.2,True
NP_009564.1,cenH3,183.2,False
NP_009564.1,cenH3,183.2,False
XP_002287626.1,cenH3,183.0,True
XP_009526809.1,cenH3,174.5,True
AAK39657.1,cenH3,164.2,True
XP_001218942.1,cenH3,148.9,False
EAX08008.1,cenH3,112.0,False
XP_003804825.1,TS_H3.4,313.9,True
NP_003484.1,TS_H3.4,313.3,True
NP_003520.1,TS_H3.4,303.3,False
NP_001180643.1,TS_H3.4,303.3,False
NP_659539.1,TS_H3.4,303.3,False
XP_527254.2,TS_H3.4,303.3,False
NP_001027285.1,TS_H3.4,298.9,False
NP_001268409.1,TS_H3.4,298.9,False
NP_001091119.1,TS_H3.4,298.2,False
CAA32434.1,TS_H3.4,297.7,False
XP_002999294.1,TS_H3.4,293.5,False
NP_189372.1,TS_H3.4,291.3,False
NP_001044904.1,TS_H3.4,291.3,False
NP_195713.1,TS_H3.4,290.6,False
NP_195713.1,TS_H3.4,290.6,False
NP_001050276.1,TS_H3.4,290.6,False
XP_002977792.1,TS_H3.4,290.6,False
XP_002288694.1,TS_H3.4,290.0,False
NP_511095.1,TS_H3.4,289.8,False
NP_032236.1,TS_H3.4,289.8,False
NP_446437.1,TS_H3.4,289.8,False
XP_005537317.1,TS_H3.4,289.7,False
NP_509344.1,TS_H3.4,289.5,False
XP_002788889.1,TS_H3.4,286.9,False
AAH81561.1,TS_H3.4,286.6,False
Q7XYZ0.3,TS_H3.4,284.9,False
XP_002293701.1,TS_H3.4,284.4,False
XP_002895320.1,TS_H3.4,283.5,False
XP_724814.1,TS_H3.4,281.2,False
XP_003954426.1,TS_H3.4,281.0,False
AAM95790.1,TS_H3.4,279.4,False
AAP80725.1,TS_H3.4,278.9,False
XP_713710.1,TS_H3.4,273.7,False
XP_725474.1,TS_H3.4,273.7,False
XP_966164.1,TS_H3.4,273.7,False
XP_956003.1,TS_H3.4,273.7,False
XP_006969783.1,TS_H3.4,273.7,False
NP_001013721.2,TS_H3.4,273.2,False
P10651.2,TS_H3.4,272.6,False
XP_456791.1,TS_H3.4,271.0,False
XP_719887.1,TS_H3.4,269.3,False
XP_460476.1,TS_H3.4,268.2,False
XP_001016594.3,TS_H3.4,266.2,False
XP_567545.1,TS_H3.4,265.3,False
NP_009564.1,TS_H3.4,264.2,False
NP_009564.1,TS_H3.4,264.2,False
XP_001008397.1,TS_H3.4,251.8,False
NOGI_5,TS_H3.4,231.4,False
NOGI_3,TS_H3.4,229.7,False
NOGI_4,TS_H3.4,229.7,False
NOGI_1,TS_H3.4,226.0,False
NOGI_2,TS_H3.4,226.0,False
NOGI_7,TS_H3.4,224.4,False
NOGI_6,TS_H3.4,224.1,False
XP_001713521.1,TS_H3.4,216.3,False
EAX08008.1,TS_H3.4,160.3,False
XP_001218942.1,TS_H3.4,145.2,False
NP_596473.1,TS_H3.4,143.3,False
XP_005535607.1,TS_H3.4,136.4,False
XP_002287626.1,TS_H3.4,133.9,False
XP_001350068.1,TS_H3.4,131.5,False
NP_012875.2,TS_H3.4,129.4,False
NP_563627.1,TS_H3.4,110.8,False
NP_001800.1,TS_H3.4,110.3,False
AAK39657.1,TS_H3.4,109.7,False
XP_001011273.1,TS_H3.4,108.1,False
NP_499128.1,TS_H3.4,105.8,False
NP_031707.1,TS_H3.4,97.9,False
XP_002767160.1,TS_H3.4,90.7,False
XP_009526809.1,TS_H3.4,80.9,False
NP_523730.2,TS_H3.4,50.5,False
XP_003954426.1,H3.5,307.6,True
NP_001013721.2,H3.5,305.3,True
NP_511095.1,H3.5,298.7,False
NP_032236.1,H3.5,298.7,False
NP_446437.1,H3.5,298.7,False
NP_509344.1,H3.5,296.5,False
AAH81561.1,H3.5,295.5,False
NP_001027285.1,H3.5,292.3,False
NP_001268409.1,H3.5,292.3,False
CAA32434.1,H3.5,291.1,False
NP_001091119.1,H3.5,290.3,False
NP_003520.1,H3.5,290.2,False
NP_001180643.1,H3.5,290.2,False
NP_659539.1,H3.5,290.2,False
XP_527254.2,H3.5,290.2,False
NP_189372.1,H3.5,287.3,False
NP_001044904.1,H3.5,287.3,False
NP_195713.1,H3.5,287.1,False
NP_195713.1,H3.5,287.1,False
NP_001050276.1,H3.5,287.1,False
XP_002977792.1,H3.5,287.1,False
XP_002999294.1,H3.5,286.6,False
XP_005537317.1,H3.5,286.4,False
XP_002788889.1,H3.5,286.1,False
XP_002288694.1,H3.5,283.1,False
NP_003484.1,H3.5,282.9,False
XP_002293701.1,H3.5,282.8,False
XP_002895320.1,H3.5,282.0,False
XP_003804825.1,H3.5,281.0,False
Q7XYZ0.3,H3.5,278.3,False
XP_724814.1,H3.5,277.4,False
XP_713710.1,H3.5,276.2,False
AAM95790.1,H3.5,275.8,False
XP_725474.1,H3.5,273.9,False
XP_966164.1,H3.5,273.9,False
XP_456791.1,H3.5,273.5,False
AAP80725.1,H3.5,273.2,False
XP_956003.1,H3.5,272.5,False
XP_006969783.1,H3.5,272.5,False
P10651.2,H3.5,271.3,False
XP_567545.1,H3.5,270.9,False
XP_719887.1,H3.5,269.6,False
XP_460476.1,H3.5,268.3,False
NP_009564.1,H3.5,266.4,False
NP_009564.1,H3.5,266.4,False
XP_001016594.3,H3.5,259.2,False
XP_001008397.1,H3.5,248.1,False
NOGI_5,H3.5,240.4,False
NOGI_3,H3.5,238.6,False
NOGI_4,H3.5,238.6,False
NOGI_7,H3.5,235.6,False
NOGI_1,H3.5,235.0,False
NOGI_2,H3.5,235.0,False
NOGI_6,H3.5,233.3,False
XP_001713521.1,H3.5,214.4,False
EAX08008.1,H3.5,171.0,False
NP_596473.1,H3.5,147.3,False
XP_001218942.1,H3.5,139.1,False
XP_005535607.1,H3.5,137.9,False
NP_012875.2,H3.5,137.1,False
XP_002287626.1,H3.5,133.3,False
XP_001350068.1,H3.5,132.3,False
AAK39657.1,H3.5,118.8,False
NP_499128.1,H3.5,109.3,False
NP_563627.1,H3.5,109.3,False
NP_001800.1,H3.5,108.0,False
XP_001011273.1,H3.5,107.3,False
NP_031707.1,H3.5,99.1,False
XP_002767160.1,H3.5,94.8,False
XP_009526809.1,H3.5,77.3,False
NP_523730.2,H3.5,48.2,False
NP_511095.1,H3.3,295.9,True
NP_032236.1,H3.3,295.9,True
NP_446437.1,H3.3,295.9,True
NP_509344.1,H3.3,295.4,False
NP_195713.1,H3.3,294.1,True
NP_195713.1,H3.3,294.1,True
NP_001050276.1,H3.3,294.1,False
XP_002977792.1,H3.3,294.1,False
NP_001027285.1,H3.3,293.8,False
NP_001268409.1,H3.3,293.8,False
AAH81561.1,H3.3,293.5,True
AAM95790.1,H3.3,293.5,True
NP_003520.1,H3.3,293.1,False
NP_001180643.1,H3.3,293.1,False
NP_659539.1,H3.3,293.1,False
XP_527254.2,H3.3,293.1,False
XP_002895320.1,H3.3,293.0,True
CAA32434.1,H3.3,292.6,False
XP_002999294.1,H3.3,292.1,False
NP_001091119.1,H3.3,291.9,False
NP_189372.1,H3.3,291.6,False
NP_001044904.1,H3.3,291.6,False
XP_005537317.1,H3.3,291.4,False
XP_002288694.1,H3.3,291.4,False
XP_713710.1,H3.3,291.4,True
XP_002293701.1,H3.3,290.8,True
XP_456791.1,H3.3,290.7,True
XP_002788889.1,H3.3,290.2,False
XP_719887.1,H3.3,289.8,False
XP_460476.1,H3.3,289.7,False
XP_956003.1,H3.3,289.4,False
XP_006969783.1,H3.3,289.4,True
XP_725474.1,H3.3,288.9,True
XP_966164.1,H3.3,288.9,False
Q7XYZ0.3,H3.3,287.9,False
P10651.2,H3.3,286.9,True
XP_724814.1,H3.3,286.3,False
AAP80725.1,H3.3,286.1,True
NP_003484.1,H3.3,286.0,False
XP_003954426.1,H3.3,286.0,False
NP_009564.1,H3.3,285.9,True
NP_009564.1,H3.3,285.9,True
XP_003804825.1,H3.3,284.0,False
XP_567545.1,H3.3,282.2,True
XP_001016594.3,H3.3,278.9,False
NP_001013721.2,H3.3,278.4,False
XP_001008397.1,H3.3,277.9,True
NOGI_5,H3.3,247.2,False
NOGI_4,H3.3,245.3,False
NOGI_3,H3.3,244.7,False
NOGI_1,H3.3,241.9,False
NOGI_2,H3.3,241.9,False
NOGI_6,H3.3,238.9,False
NOGI_7,H3.3,238.7,False
XP_001713521.1,H3.3,220.9,False
EAX08008.1,H3.3,175.5,False
XP_001218942.1,H3.3,153.3,False
NP_596473.1,H3.3,153.0,False
XP_005535607.1,H3.3,141.5,False
NP_012875.2,H3.3,138.4,False
XP_002287626.1,H3.3,138.8,False
XP_001350068.1,H3.3,136.0,False
NP_563627.1,H3.3,120.3,False
AAK39657.1,H3.3,119.1,False
NP_499128.1,H3.3,116.3,False
NP_001800.1,H3.3,115.2,False
XP_001011273.1,H3.3,114.3,False
NP_031707.1,H3.3,104.0,False
XP_002767160.1,H3.3,97.7,False
XP_009526809.1,H3.3,85.5,False
NP_523730.2,H3.3,53.7,False
NP_001032934.1,canonical_H4,209.0,True
XP_012928609.1,canonical_H4,209.0,True
NP_001029249.1,canonical_H4,209.0,True
NP_291074.1,canonical_H4,209.0,True
NP_001087926.1,canonical_H4,209.0,True
NP_492641.1,canonical_H4,208.7,True
NP_999707.1,canonical_H4,208.7,True
NP_180441.1,canonical_H4,208.4,True
NP_001131585.1,canonical_H4,208.4,True
NP_001027352.1,canonical_H4,206.1,True
NP_009563.1,canonical_H4,200.8,True
XP_001016593.1,canonical_H4,183.0,True
NP_003538.1,canonical_H4,177.7,True
XP_951561.1,canonical_H4,163.8,True
NP_072169.1,H2B.1,280.2,True
NP_783594.1,H2B.1,279.7,True
XP_005640164.1,H2B.1,277.9,False
XP_005640164.1,H2B.1,277.9,False
NP_733759.1,H2B.1,274.5,True
XP_005610255.1,H2B.1,247.2,False
NP_001032546.1,H2B.1,246.0,False
XP_013006892.1,H2B.1,246.0,False
XP_012928647.1,H2B.1,246.0,False
XP_011741102.1,H2B.1,246.0,False
XP_008246696.1,H2B.1,246.0,False
XP_005665716.1,H2B.1,245.8,False
NP_066402.2,H2B.1,245.7,False
XP_003422331.1,H2B.1,245.7,False
XP_011216221.1,H2B.1,245.5,False
XP_007485418.1,H2B.1,245.4,False
XP_007634673.1,H2B.1,244.5,False
NP_783595.1,H2B.1,243.6,False
NP_001086753.1,H2B.1,243.1,False
NP_001073188.1,H2B.1,242.5,False
NP_072173.1,H2B.1,231.9,False
NP_505464.1,H2B.1,219.8,False
NP_724342.1,H2B.1,216.3,False
AAA30025.1,H2B.1,212.5,False
NP_999710.2,H2B.1,202.1,False
P02291.2,H2B.1,194.8,False
NP_999706.1,H2B.1,193.9,False
Q27750.3,H2B.1,192.2,False
Q27749.3,H2B.1,191.3,False
NP_999721.1,H2B.1,191.3,False
NP_010510.3,H2B.1,184.9,False
NP_009553.1,H2B.1,184.8,False
Q9FFC0.3,H2B.1,177.6,False
Q9LQQ4.3,H2B.1,176.8,False
Q9LZT0.3,H2B.1,175.8,False
Q9LZ45.3,H2B.1,174.4,False
XP_002369740.1,H2B.1,174.5,False
XP_002369740.1,H2B.1,174.5,False
XP_678689.1,H2B.1,168.1,False
XP_001349046.1,H2B.1,167.9,False
XP_548517.2,H2B.1,132.1,False
XP_002925981.1,H2B.1,115.5,False
XP_823266.1,H2B.1,110.3,False
XP_002720211.1,H2B.1,110.0,False
NP_001180847.1,H2B.1,101.9,False
XP_001366286.1,H2B.1,102.8,False
XP_003134084.1,H2B.1,101.3,False
Q7Z2G1.2,H2B.1,99.4,False
DAA13058.1,H2B.1,98.1,False
NP_991343.1,H2B.1,96.0,False
XP_003515979.1,H2B.1,95.9,False
XP_002921383.1,H2B.1,95.2,False
XP_003407998.1,H2B.1,90.9,False
NP_081340.1,H2B.1,90.9,False
XP_004885290.1,H2B.1,89.4,False
XP_003461969.1,H2B.1,88.6,False
XP_001504072.1,H2B.1,87.0,False
XP_001095287.1,H2B.1,62.3,False
NP_083864.1,H2B.1,15.2,False
XP_956003.1,H2B.1,11.9,False
XP_006969783.1,H2B.1,11.9,False
XP_005610255.1,canonical_H2B,245.2,True
NP_001032546.1,canonical_H2B,244.9,True
XP_013006892.1,canonical_H2B,244.9,True
XP_012928647.1,canonical_H2B,244.9,True
XP_011741102.1,canonical_H2B,244.9,True
XP_008246696.1,canonical_H2B,244.9,True
XP_005665716.1,canonical_H2B,244.8,True
XP_011216221.1,canonical_H2B,244.2,True
NP_066402.2,canonical_H2B,243.9,True
XP_003422331.1,canonical_H2B,243.9,True
XP_007634673.1,canonical_H2B,243.6,True
XP_007485418.1,canonical_H2B,242.6,True
NP_001073188.1,canonical_H2B,241.5,True
NP_783595.1,canonical_H2B,241.2,True
NP_001086753.1,canonical_H2B,240.0,True
NP_072173.1,canonical_H2B,233.6,True
XP_005640164.1,canonical_H2B,232.2,True
XP_005640164.1,canonical_H2B,232.2,True
NP_783594.1,canonical_H2B,227.3,False
NP_072169.1,canonical_H2B,226.9,False
NP_505464.1,canonical_H2B,224.6,True
AAA30025.1,canonical_H2B,223.6,True
NP_733759.1,canonical_H2B,222.3,False
NP_724342.1,canonical_H2B,219.2,True
Q9FFC0.3,canonical_H2B,215.1,True
Q9LZ45.3,canonical_H2B,215.0,True
NP_999710.2,canonical_H2B,211.1,True
Q9LQQ4.3,canonical_H2B,208.0,True
NP_010510.3,canonical_H2B,209.7,True
NP_009553.1,canonical_H2B,208.9,True
Q9LZT0.3,canonical_H2B,206.9,True
NP_999706.1,canonical_H2B,200.2,False
P02291.2,canonical_H2B,198.4,False
XP_002369740.1,canonical_H2B,198.4,False
XP_002369740.1,canonical_H2B,198.4,False
Q27749.3,canonical_H2B,197.9,False
NP_999721.1,canonical_H2B,196.8,False
Q27750.3,canonical_H2B,195.6,False
