accession,type,variant_group,variant,doublet,references
AAV98010.1,Viral_H4,,,singlet,35624484
YP_009665791.1,Viral_H4,,,singlet,35624484
AGL91659.1,Viral_H4,,,singlet,35624484
AFN42307.1,Viral_H4,,,singlet,35624484
BCU02668.1,Viral_H2B,,,singlet,35624484
YP_008319525.2,Viral_H2B,,,singlet,35624484
YP_009483470.1,Viral_H2B,,,singlet,35624484
QBZ81372.1,Viral_H2B,,,singlet,35624484
YP_008437980.1,Viral_H2B,,,singlet,35624484
YP_009481299.1,Viral_H2B,,,singlet,35624484
YP_009482227.1,Viral_H2B,,,singlet,35624484
OFAK01000003,Viral_H2B,,,singlet,35624484
OFAJ01000016.1,Viral_H2B,,,singlet,35624484
OFAI01000004,Viral_H2B,,,singlet,35624484
YP_009119582.1,Viral_H2B,,,singlet,35624484
DAC81234.1,Viral_H3,,,singlet,35624484
YP_009465730.1,Viral_H3,,,singlet,35624484
YP_009046636.1,Viral_H3,,,singlet,35624484
AAN04299.1,Viral_other-H4-H3,,,singlet,35624484
YP_004956749.1,Viral_other-H4-H3,,,singlet,35624484
YP_003407138.1,Viral_Hb-Ha,,,doublet,35624484
YP_003407137.1,Viral_Hd-Hg,,,doublet,35624484
YP_003406909.1,Viral_Hz-He,,,doublet,35624484
YP_009094870.1,Viral_Hb-Ha,,,doublet,35624484
YP_009094869.1,Viral_Hd-Hg,,,doublet,35624484
YP_009094650.1,Viral_Hz-He,,,doublet,35624484
AGV01788.1,Viral_Hb-Ha,,,doublet,35624484
AGV01787.1,Viral_Hd-Hg,,,doublet,35624484
AGV01521.1,Viral_Hz-He,,,doublet,35624484
YP_009254841.1,Viral_Hb-Ha,,,doublet,35624484
YP_009254842.1,Viral_Hd-Hg,,,doublet,35624484
YP_009254950.1,Viral_Hz-He,,,doublet,35624484
YP_004347348.1,Viral_Hb-Ha,,,doublet,35624484
YP_004347349.1,Viral_Hd-Hg,,,doublet,35624484
YP_004347019.1,Viral_Hz-He,,,doublet,35624484
ALH07047.1,Viral_Hb-Ha,,,doublet,35624484
ALH07048.1,Viral_Hd-Hg,,,doublet,35624484
ALH06745.1,Viral_Hz-He,,,doublet,35624484
AQQ73805.1,Viral_Hb-Ha,,,doublet,35624484
AQQ73806.1,Viral_Hd-Hg,,,doublet,35624484
AQQ73899.1,Viral_Hz-He,,,doublet,35624484
YP_009345224.1,Viral_Hb-Ha,,,doublet,35624484
YP_009345223.1,Viral_Hd-Hg,,,doublet,35624484
YP_009345564.1,Viral_Hz-He,,,doublet,35624484
YP_009507074.1,Viral_Hb-Ha,,,doublet,35624484
YP_009507075.1,Viral_Hd-Hg,,,doublet,35624484
YP_009506807.1,Viral_Hz-He,,,doublet,35624484
AHA45913.1,Viral_Hb-Ha,,,doublet,35624484
AHA45912.1,Viral_Hd-Hg,,,doublet,35624484
AHA46167.1,Viral_Hz-He,,,doublet,35624484
YP_009238942.1,Viral_Hb-Ha,,,doublet,35624484
YP_009238943,Viral_Hd-Hg,,,doublet,35624484
YP_009238664.1,Viral_Hz-He,,,doublet,35624484
KT835053.1 252092 to 252844,Viral_Hb-Ha,,,doublet,35624484
KT835053.1 252942-253572,Viral_Hd-Hg,,,doublet,35624484
YP_004732864.1,Viral_H4-H3,,,doublet,35624484
YP_008357430.1,Viral_H4-H3,,,doublet,35624484
YP_009010674.1,Viral_H4-H3,,,doublet,35624484
CCV02330.1,Viral_H4-H3,,,doublet,35624484
YP_009021202.1,Viral_H4-H3,,,doublet,35624484
BBI30394.1,Viral_H4,,,singlet,35624484
BBI30395.1,Viral_H3,,,singlet,35624484
BBI30201.1,Viral_H2B,,,singlet,35624484
BBI30458.1,Viral_H2A,,,singlet,35624484
BBI30246.1,Viral_H1,,,singlet,35624484
QPB44421.1,Viral_H3-H4,,,doublet,35624484
QPB44246.1,Viral_H2B,,,singlet,35624484
QPB44482.1,Viral_H2A,,,singlet,35624484
QYA18737.1,Viral_H4,,,singlet,35624484
QYA18687.1,Viral_H3,,,singlet,35624484
QYA18726.1,Viral_H2B-H2A,,,doublet,35624484
QYA18369.1,Viral_H1+WWE,,,singlet,35624484
